cluster_id,auto_label
43,"umbrella, structure, collapsible, collapsible umbrella, automatic"
44,"gyroscope, gyro, method, laser, ring laser"
45,"optical, pickup, optical pickup, device, pickup device"
46,"soybean, soybean cultivar, cultivar, variety, soybean variety"
47,"inbred, corn, inbred corn, plant, corn plant"
48,"jewelry, clasp, jewelry clasp, jewelry jewelry, clasp jewelry"
49,"watch, wristwatch, device, wrist, strap"
50,"circuit, breaker, circuit breaker, power, mechanism"
51,"toothbrush, brush, cleaning, toothbrush toothbrush, cleaning brush"
52,"insulation, insulating, method, material, insulated"
53,"guidewire, core, wire, guidewire guidewire, guidewires"
54,"blind, venetian, venetian blind, blinds, roller"
55,"trap, bait, insect, rodent, insect trap"
56,"image, apparatus, processing, image processing, processing apparatus"
57,"method, sampling, sample, apparatus, apparatus method"
58,"image, apparatus, reading, reading apparatus, image reading"
59,"method, microelectromechanical, device, micro, structures"
60,"marking, marker, method, pavement, field"
61,"sign, holder, sign holder, support, multi"
62,"bubble, method, bubbler, device, forming"
63,"alignment, method, apparatus, device, aligning"
64,"moisture, method, sensor, device, apparatus"
65,"lens, barrel, lens barrel, barrel lens, zoom"
66,"seismic, method, data, seismic data, exploration"
67,"vibration, damper, device, vibration damper, damping"
68,"drum, method, apparatus, head, pad"
69,"vitamin, derivatives, process, vitamin derivatives, method"
71,"glove, gloves, protective, powder free, free"
72,"elevator, control, elevator elevator, speed, device"
74,"memory, ferroelectric, ferroelectric memory, method, memory device"
75,"curtain, inflatable, inflatable curtain, curtain inflatable, device"
76,"fuel, fuel cell, cell, polymer, electrolyte"
77,"fuel, fuel cell, cell, power, flow"
78,"recording, transfer, thermal, thermal transfer, heat"
79,"method, blasting, apparatus, explosives, blast"
80,"wiper, windshield wiper, windshield, device, blade"
82,"optical, attenuator, variable, optical attenuator, attenuation"
83,"raman, amplification, amplifier, optical, raman amplification"
84,"stent, stent stent, graft, stent graft, expandable"
85,"film, display, liquid, liquid crystal, crystal display"
86,"matrix, display, active, active matrix, device"
87,"matrix, display, liquid crystal, liquid, crystal"
88,"urinary, bladder, device, incontinence, urine"
89,"liquid, crystal, liquid crystal, display, crystal display"
90,"stringed, instrument, musical, stringed musical, musical instrument"
91,"irrigation, method, irrigation irrigation, tip, drip"
92,"liquid, crystal, liquid crystal, device, crystal device"
93,"liquid, liquid crystal, crystal, driving, display"
94,"mirror, assembly, rearview, rearview mirror, mirror assembly"
95,"shock, shock absorber, absorber, absorber shock, mount"
96,"carbon, nanotubes, carbon nanotubes, nanotube, method"
97,"cement, method, containing, materials, cementitious"
98,"hybrid, vehicle, hybrid vehicle, control, apparatus"
99,"mass, spectrometer, mass spectrometer, time, mass spectrometry"
100,"ion, implantation, ion implantation, method, apparatus"
101,"ion, beam, ion beam, method, apparatus"
103,"material, photothermographic, photographic, photothermographic material, element"
104,"resin, composition, photosensitive, resin composition, photosensitive resin"
105,"photoresist, method, composition, photoresist composition, positive"
106,"electron, microscope, electron microscope, scanning, scanning electron"
107,"charged, beam, particle, charged particle, particle beam"
108,"field, emission, field emission, method, display"
111,"phase, mask, shift, phase shift, shift mask"
113,"method, mask, photomask, manufacturing, device"
114,"projection, exposure, apparatus, projection exposure, exposure apparatus"
115,"exposure, method, apparatus, exposure apparatus, device"
116,"tube, ray tube, cathode, ray, cathode ray"
118,"electron, apparatus, image, device, method"
119,"electron, electron beam, beam, apparatus, exposure"
120,"absorbent, article, absorbent article, having, articles"
121,"resist, composition, resist composition, positive, positive resist"
122,"pedal, adjustable, adjustable pedal, assembly, pedal assembly"
123,"brake, device, disc, disc brake, control"
124,"pneumatic, tool, actuator, pneumatic tool, mechanism"
125,"scroll, compressor, scroll compressor, compressor scroll, having"
126,"wound, dressing, wound dressing, method, wounds"
127,"image, pickup, image pickup, apparatus, pickup apparatus"
128,"medical, method, care, health, patient"
129,"ventilation, vent, ventilator, venting, attic"
130,"spark, plug, spark plug, method, plug spark"
131,"seal, turbine, gas, gas turbine, method"
132,"connector, electrical, electrical connector, having, connector having"
133,"connector, waterproof, waterproof connector, connector waterproof, structure"
134,"liquid, discharge, liquid discharge, head, method"
135,"discharge, machining, discharge machining, electric, electric discharge"
136,"helmet, protective, sports, helmet protective, headguard"
137,"shielding, emi, electromagnetic, shield, emi shielding"
139,"jack, modular, modular jack, jack jack, assembly"
140,"fishing, reel, rod, fishing rod, mechanism"
141,"garment, clothing, protective, protecting, disposable"
142,"magnetic, disk, magnetic disk, head, drive"
143,"hydraulic, device, circuit, control, vehicle"
144,"box, electrical, connection, junction, connection box"
146,"valve, spin, spin valve, layer, sensor"
147,"magnet, method, magnetic, resin, permanent"
148,"microfluidic, devices, microfluidic devices, fluid, methods"
149,"magnetic, sensor, field, detecting, magnetic field"
151,"magnetic, recording, magnetic recording, apparatus, recording medium"
152,"magnetic, film, head, method, film magnetic"
153,"magnetic, head, magnetic head, method, head magnetic"
154,"connector, electrical, electrical connector, connector electrical, electric"
155,"coupling, device, coupling device, method, coupling method"
156,"connector, shielded, electrical, shield, electrical connector"
157,"socket, electrical, socket electrical, parts, having"
158,"connector, electrical, electrical connector, locking, latch"
159,"cable, flexible, management, method, flexible cable"
160,"applicator, method, applicator applicator, having, fluid"
161,"hair, method, compositions, styling, treatment"
162,"leak, method, detection, testing, leak detection"
163,"weighing, weight, apparatus, method, scale"
164,"navigation, apparatus, method, navigation apparatus, map"
165,"sensor, capacitive, sensor capacitive, pressure sensor, pressure"
166,"chromatography, chromatographic, method, liquid chromatography, liquid"
167,"crystal, single, method, single crystal, growth"
168,"biopsy, method, needle, biopsy needle, forceps"
169,"label, labels, method, adhesive, form"
170,"sterilizing, sterilization, method, apparatus, method sterilizing"
171,"semiconductor, manufacturing, device, semiconductor device, method"
172,"piezoelectric, method, transformer, piezoelectric transformer, device"
173,"agricultural, harvester, harvesting, combine, crop"
174,"friction, method, material, wear, member"
176,"ultrasonic, ultrasound, method, apparatus, imaging"
177,"roll, rolling, method, products, apparatus"
178,"tape, tape measure, measure, measuring, measuring tape"
179,"energy, absorbing, energy absorbing, impact, structure"
180,"tree, stand, tree stand, christmas tree, christmas"
181,"card, cards, ic, method, ic card"
182,"connector, card, card connector, having, mechanism"
183,"spring, leaf, leaf spring, method, having"
184,"clamp, clamping, device, clamp clamp, clamp device"
185,"shower, shower head, device, head, tub"
186,"toilet, water, device, flushing, toilet flushing"
187,"apparatus, method, music, musical, performance"
189,"pallet, pallet pallet, palletizer, method, assembly"
190,"acoustic, wave, surface, surface acoustic, device"
191,"filter, wave, acoustic wave, acoustic, surface"
192,"sound, acoustic, absorbing, sound absorbing, insulation"
193,"loudspeaker, speaker, loudspeakers, loudspeaker loudspeaker, device"
194,"hearing, device, aid, hearing aid, hearing device"
195,"toy, amusement, apparatus, ride, installation"
196,"medication, container, method, dispensing, pill"
197,"electronic, method, component, manufacturing, electronic component"
198,"bow, archery, archery bow, arrow, sight"
199,"firearm, firing, device, ammunition, apparatus"
200,"endoscope, endoscope endoscope, variable, endoscopic, apparatus"
201,"endoscopic, instrument, surgery, apparatus, instrument endoscopic"
202,"book, holder, device, bookbinding, cover"
203,"wrench, ratchet, ratchet wrench, adjustable, having"
204,"grill, barbecue, barbecue grill, device, assembly"
205,"cooking, apparatus, cooking apparatus, food, device"
206,"oven, microwave, microwave oven, method, oven microwave"
209,"atm, network, method, cell, switch"
210,"injection, device, injection device, apparatus, injection apparatus"
212,"electrostatic, discharge, electrostatic discharge, protection, discharge protection"
213,"mask, face, face mask, protective, oxygen"
214,"aerosol, device, apparatus, spray, container"
215,"method, breathing, apparatus, device, airway"
216,"inhaler, inhalation, device, apparatus, metered"
217,"valve, heart, heart valve, method, prosthesis"
218,"battery, method, charging, charger, apparatus"
219,"battery, pack, battery pack, pack battery, battery package"
220,"spindle, machine, motor, tool, spindle motor"
221,"bearing, rolling, method, rolling bearing, porous"
222,"outboard, outboard motor, motor, motor outboard, engine"
223,"skate, roller skate, roller, line, skate skate"
224,"tire, pneumatic, vehicle, pneumatic tire, method"
225,"snow, method, apparatus, apparatus method, snow ice"
227,"shoe, sole, shoes, method, outsole"
228,"massaging, massage, device, apparatus, massage device"
229,"tooth, method, dental, teeth, compositions"
230,"electrophoresis, capillary, capillary electrophoresis, apparatus, method"
231,"drain, device, drainage, drain assembly, assembly"
232,"analyte, method, analytes, strip, sensing"
233,"biosensor, biosensors, sensor, method, biosensor biosensor"
234,"dyeing, keratin, fibers, composition, dyeing keratin"
235,"pigments, pigment, process, method, color"
236,"dyes, reactive, use, dye, preparation"
237,"method, apparatus, physiological, body, method apparatus"
238,"solid, imaging, device, state, solid state"
239,"image, solid state, state, solid, state image"
240,"pipe, method, pipes, apparatus, hose"
241,"tube, method, tubular, tubes, device"
242,"tissue, method, apparatus, method apparatus, temporarily"
243,"blood, dialysis, collection, method, blood collection"
244,"electrosurgical, tissue, instrument, sealing, device"
245,"surgical, instrument, device, method, retractor"
246,"implantable, device, medical, implantable medical, medical device"
247,"syringe, syringe syringe, method, syringes, hypodermic"
248,"needle, method, apparatus, needles, medical"
249,"exercise, apparatus, device, exercising, method"
250,"anastomosis, method, vascular, methods, performing"
251,"prosthesis, bone, device, plate, method"
252,"spinal, method, implant, vertebral, disc"
253,"methods, method, vascular, occlusion, patient"
254,"ball, practice, device, tennis, apparatus"
255,"ablation, apparatus, device, electrode, ablation device"
256,"nozzle, spray, spray nozzle, pistol, pistol nozzle"
257,"spray, sprayer, spraying, water, type"
258,"golf, ball, golf ball, solid golf, solid"
259,"golf, club, golf club, method, head"
260,"pressure, blood, blood pressure, apparatus, measuring"
261,"heart, method, stimulation, device, apparatus"
262,"catheter, distal, delivery, wire, having"
263,"catheter, balloon, balloon catheter, catheter balloon, methods"
264,"actuator, actuator actuator, linear actuator, linear, electromagnetic"
265,"timepiece, device, electronic, electronic timepiece, time"
266,"cassette, tape, tape cassette, drive, apparatus"
267,"filter, resonator, tuning, dielectric, resonance"
268,"roof, vehicle, vehicle roof, method, roofing"
269,"sun, sunshade, visor, vehicle, assembly"
270,"liquid, ejecting, method, ejection, liquid ejecting"
271,"chuck, electrostatic, electrostatic chuck, method, drill"
272,"method, apparatus, method apparatus, wellbore, subterranean"
273,"article, articles, apparatus, device, like"
274,"downhole, method, apparatus, tool, downhole tool"
275,"drill, drilling, bit, drill bit, method"
276,"drying, method, apparatus, dryer, device"
277,"washing, washing machine, machine, device, washer"
278,"cleaning, apparatus, method, device, cleaning apparatus"
279,"ozone, method, water, treatment, apparatus"
280,"lubricant, oil, lubricating, composition, lubrication"
281,"shaft, coupling, flexible, shaft coupling, hollow"
282,"generator, ac, method, ac generator, control"
283,"fuel, valve, injection, fuel injection, injection valve"
284,"mower, lawn, lawn mower, unit, cutting"
285,"optical, recording, medium, recording medium, optical recording"
287,"optical, disk, optical disk, recording, apparatus"
288,"cellulose, process, method, material, materials"
289,"servo, drive, method, disk, disc"
290,"disk, apparatus, drive, disk drive, disc"
291,"drive, disk, head, disk drive, suspension"
292,"phosphor, method, earth, phosphors, red"
293,"light, emitting, organic, light emitting, organic light"
294,"electroluminescent, organic, organic electroluminescent, device, electroluminescent device"
295,"pool, swimming, swimming pool, cleaning, pool cleaning"
296,"touch, panel, touch panel, screen, touch screen"
297,"reactor, nuclear, fuel, assembly, fuel assembly"
298,"inductor, method, manufacturing, method manufacturing, high"
300,"transmission, control, hydrostatic, automatic, hydrostatic transmission"
301,"anchor, method, apparatus, post, device"
302,"table, adjustable, folding, adjustable table, folding table"
303,"torque, control, method, transmitting, torque transmitting"
304,"hanger, garment, garment hanger, hanging, hanger hanger"
305,"strap, strapping, machine, device, assembly"
306,"ladder, device, surface, support, rung"
307,"steering, vehicle, vehicle steering, steering column, control"
308,"clutch, vehicle, mechanism, clutch mechanism, apparatus"
309,"transmission, gear, control, variable, transmission control"
310,"steering, power, power steering, electric, apparatus"
311,"fastening, fastener, assembly, clip, method"
312,"tool, handle, gripper, screw, hand"
313,"suspension, vehicle, wheel, wheel suspension, vehicles"
314,"wheel, vehicle, axle, vehicle wheel, apparatus"
315,"probe, tip, device, self, probes"
316,"workpiece, apparatus, method, workpieces, processing"
317,"bag, air, air bag, airbag, module"
318,"grinding, apparatus, grinder, device, grinding apparatus"
319,"knife, utility knife, utility, blade, knife utility"
320,"cutting, tool, cutting tool, machine, insert"
321,"saw, device, blade, speed, portable"
322,"roller, fixing, device, surface, bearing"
323,"window, vehicle, vehicle window, device, apparatus"
324,"conveyor, conveying, device, material, apparatus"
326,"belt, conveyor, conveyor belt, method, endless"
327,"bumper, vehicle, bumper beam, beam, vehicle bumper"
328,"method, wall, structure, construction, concrete"
329,"rack, shelf, mounting, display, cabinet"
330,"enclosure, computer, computer enclosure, equipment, electronic"
331,"mounting, apparatus, bracket, device, electronic"
332,"latch, mechanism, latching, latch mechanism, latch latch"
333,"lock, locking, device, locking device, lock having"
334,"hinge, hinge hinge, assembly, hinge assembly, device"
335,"door, vehicle, vehicle door, mechanism, device"
336,"inflatable, device, apparatus, device inflatable, inflatable device"
337,"pillow, cushion, method, supporting, head"
338,"propulsion, boat, marine, watercraft, marine propulsion"
339,"seat, seat belt, belt, seatbelt, buckle"
340,"cart, collapsible, shopping cart, shopping, movable"
341,"trailer, hitch, trailer hitch, device, assembly"
342,"truck, cargo, bed, truck bed, extender"
343,"lift, lifting, vehicle, device, lifting device"
344,"bed, mattress, frame, support, mechanism"
345,"seat, vehicle, vehicle seat, chair, device"
346,"vehicle, structure, body, frame, reinforcement"
347,"rail, support, handrail, assembly, rail vehicle"
348,"silica, method, producing, process, process producing"
349,"substrate, method, apparatus, processing, device"
350,"control, pest, method, insect, pest control"
351,"eye, treating, glaucoma, treatment, method"
352,"input, device, input device, computer, user"
353,"keyboard, device, keypad, key, computer"
354,"mouse, computer, computer mouse, ergonomic, pad"
355,"acceleration, sensor, acceleration sensor, method, sensor acceleration"
356,"sensor, angular, method, rotational, rotation"
357,"sensor, method, device, arrangement, sensor device"
358,"measuring, device, method, measuring device, measurement"
359,"position, apparatus, method, detecting, positioning"
360,"distance, measuring, apparatus, distance measuring, method"
361,"inspection, method, apparatus, defect, device"
362,"furnace, method, hearth, hearth furnace, arc"
363,"current, measuring, sensor, method, current sensor"
364,"board, printed, circuit, circuit board, method"
365,"metals, recovery, method, ores, metal"
366,"odor, method, fragrance, scent, process"
367,"abrasive, tool, abrasive tool, process, disc"
368,"oil, method, apparatus, method apparatus, monitoring"
369,"cartridge, disk, disk cartridge, disc, disc cartridge"
370,"cartridge, tape, tape cartridge, magnetic, storage"
371,"fingerprint, device, method, reading, finger"
372,"image, forming, image forming, apparatus, forming apparatus"
373,"microorganisms, method, detection, detecting, rapid"
374,"toner, image, method, apparatus, electrostatic"
375,"electrophotographic, apparatus, process, image, forming"
376,"glass, method, sheet, manufacturing, making"
377,"seed, method, apparatus, growing, plant"
378,"robot, method, control, robot robot, apparatus"
379,"theft, anti, anti theft, vehicle, device"
380,"occupant, vehicle, protection, occupant protection, device"
381,"coil, method, coils, surface, device"
382,"motor, method, control, electric, rotor"
383,"alarm, emergency, method, location, alert"
384,"vehicle, method, apparatus, device, information"
385,"vehicle, control, method, controlling, speed"
386,"membrane, membranes, method, composite, producing"
387,"device, animal, pet, restraint, animals"
388,"apparatus, method, animal, device, method apparatus"
389,"noise, apparatus, method, reducing, reduction"
390,"nmr, method, apparatus, probe, nmr probe"
391,"magnetic, resonance, magnetic resonance, method, apparatus"
392,"mixing, apparatus, mixing apparatus, device, fluid"
393,"mixer, low, range, mixer low, frequency"
394,"imaging, method, apparatus, use, imaging device"
395,"radiation, detector, method, radiation detector, apparatus"
396,"apparatus, ct, tomography, method, method apparatus"
397,"ray, apparatus, source, ray source, detector"
399,"sense, sense amplifier, amplifier, circuit, voltage"
400,"projection, display, image, screen, apparatus"
401,"projector, projector projector, device, image, projectors"
402,"projector, light, illumination, optical, using"
403,"infrared, detector, sensor, method, infrared radiation"
404,"emitting, light, light emitting, semiconductor, semiconductor light"
405,"multicast, method, apparatus, method apparatus, network"
406,"flashlight, device, having, miniature, flashlight flashlight"
407,"microscope, scanning, confocal, laser, scanning microscope"
408,"eye, apparatus, method, tracking, method apparatus"
409,"sensor, image, image sensor, method, cmos"
410,"device, photoelectric, photodiode, method, photodetector"
411,"fixture, light, lighting, decorative, light fixture"
412,"zoom, lens, zoom lens, lens zoom, camera"
413,"lamp, vehicle, vehicle lamp, vehicular, lamp vehicle"
414,"focus, method, apparatus, focusing, camera"
415,"lighting, device, motor, light, lighting device"
416,"hydrogen, fuel, storage, method, hydrogen storage"
417,"optical, scanner, image, scanning, method"
418,"apparatus, corneal, ophthalmic, method, ophthalmology"
419,"lamp, assembly, structure, lamp structure, lamp assembly"
420,"lamp, discharge, discharge lamp, high, pressure"
421,"ballast, electronic, lamp, electronic ballast, discharge"
422,"fluorescent, lamp, fluorescent lamp, lamp fluorescent, lamps"
423,"control, method, device, apparatus, control method"
424,"lens, device, lens device, taking lens, focus"
425,"lens, eyeglass, eyeglasses, spectacles, lenses"
426,"lens, contact, method, contact lens, intraocular"
427,"method, learning, computer, educational, apparatus"
428,"polarization, optical, source, light, plate"
429,"granular, method, process, apparatus, material"
431,"interferometer, method, optical, interferometric, apparatus"
432,"adhesive, pressure, adhesion, sensitive, pressure sensitive"
434,"laser, method, semiconductor, semiconductor laser, device"
435,"optoelectronic, opto, device, circuit, method"
436,"sense, memory, amplifier, sense amplifier, semiconductor"
437,"electro, device, optical, electro optical, optical device"
438,"optical, device, optical element, optical device, method"
439,"optical, switch, optical switch, switching, switch optical"
440,"display, apparatus, device, control, display control"
441,"waveguide, optical, optical waveguide, method, planar waveguide"
442,"grating, optical, waveguide, gratings, fiber"
443,"optical, amplifier, optical amplifier, fiber, optical fiber"
444,"modulator, optical, optical modulator, optic, electro"
445,"wavelength, wavelength division, division, optical, multiplexing"
446,"optical, module, optical module, module optical, method"
447,"optical, transmitter, receiver, transmission, apparatus"
448,"color, method, apparatus, image, gamut"
449,"dispersion, fiber, optical, optical fiber, compensating"
450,"optical, fiber, connector, fiber optic, optic"
451,"display, panel, flat panel, flat, panel display"
452,"potassium, potassium channel, channel, substituted, human"
453,"camera, stereoscopic, image, apparatus, method"
454,"equalizer, equalization, adaptive, time, method"
455,"method, decoding, encoding, coding, apparatus"
456,"image, display, image display, apparatus, method"
457,"dimensional, method, image, apparatus, rendering"
458,"inventory, method, control, management, inventory management"
459,"compression, data, method, data compression, apparatus"
460,"vacuum, pump, vacuum pump, vacuum pumps, screw"
461,"vacuum, cleaner, vacuum cleaner, vacuum switch, switch"
462,"pump, method, device, pumps, control"
463,"impeller, centrifuge, centrifugal, pump, method"
464,"recording, image, apparatus, image recording, method"
465,"method, suppression, protection, extinguishing, prevention suppression"
466,"video, method, coding, apparatus, encoding"
467,"image, compression, method, image compression, data"
468,"image, decoding, apparatus, method, picture"
469,"compressor, method, rotary, air, displacement"
471,"image, processing, data, method, image processing"
472,"ice, apparatus, method, making, ice making"
473,"thermoelectric, cooling, thermoelectric cooling, thermoelectric module, module"
474,"web, paper, material, apparatus, device"
475,"fibers, fiber, method, process, producing"
476,"sewing, machine, sewing machine, embroidery, device"
477,"throttle, control, engine, throttle control, internal"
479,"sheet, apparatus, method, paper, sheets"
480,"apparatus, image, sheet, forming apparatus, image forming"
481,"fabric, method, fabrics, textile, woven"
482,"yarn, method, apparatus, making, filament"
483,"internal, internal combustion, combustion, engine, combustion engine"
484,"piston, engine, piston engine, hydraulic, axial piston"
485,"cosmetic, skin, compositions, use, composition"
486,"cleaning, compositions, cleaning compositions, composition, comprising"
487,"emulsion, oil, water, composition, cosmetic"
488,"thermal, printer, thermal printer, head, print"
489,"engine, control, engine control, method, control engine"
491,"detergent, composition, compositions, detergent composition, detergent compositions"
492,"surfactant, surfactants, compositions, acid, containing"
493,"intake, engine, internal combustion, internal, combustion"
494,"turbocharger, exhaust, engine, internal, gas"
495,"fuel, pump, fuel pump, pump fuel, injection"
497,"solenoid, valve, solenoid valve, device, control"
499,"filter, filtration, filters, device, apparatus"
500,"air, conditioning, air conditioning, conditioner, air conditioner"
501,"porous, method, producing, material, method producing"
502,"ignition, device, ignition device, method, ignition ignition"
503,"valve, engine, combustion engine, combustion, internal combustion"
504,"valve, pressure, device, fluid, method"
505,"fuel, tank, fuel tank, method, vehicle"
506,"pressure, sensor, pressure sensor, device, control"
507,"bag, bags, apparatus, method, backpack"
508,"fuel, injector, fuel injector, injector fuel, actuated"
509,"injection, fuel, engine, fuel injection, combustion"
510,"engine, combustion, internal combustion, internal, method"
511,"engine, stroke, combustion engine, internal, cycle"
512,"cryogenic, liquid, storage, device, method"
513,"switch, device, multi directional, multi, directional"
514,"nox, method, exhaust, gas, catalyst"
515,"refrigeration, refrigerant, device, evaporative, cooling"
516,"muffler, exhaust, exhaust muffler, process, muffler muffler"
517,"exhaust, engine, gas, exhaust gas, combustion"
518,"gas, burner, combustor, combustion, turbine"
520,"printing, lithographic, printing plate, plate, lithographic printing"
521,"seal, sealing, device, member, seal member"
522,"method, apparatus, method apparatus, using, point"
523,"jet, recording, ink, jet recording, ink jet"
524,"fan, cooling, motor, blade, cooling fan"
525,"dispensing, device, liquid, dispensing device, apparatus"
526,"ink, jet, ink jet, printer, jet printer"
527,"dispenser, product, dispensing, method, dispenser dispenser"
528,"packaging, method, apparatus, packaging machine, machine"
529,"container, containers, bottle, method, automatic"
530,"ink, composition, inks, ink composition, change"
531,"grid, grid array, array, ball grid, ball"
532,"heat, heat exchanger, exchanger, tube, tube heat"
534,"printing, method, apparatus, print, printer"
535,"oscillator, controlled, circuit, voltage, voltage controlled"
536,"turbine, gas, gas turbine, cooling, method"
537,"cooling, device, method, apparatus, cooling device"
538,"heat, sink, heat sink, method, assembly"
539,"heating, heat, apparatus, device, method"
540,"temperature, device, apparatus, sensor, method"
541,"ink, method, apparatus, container, ink container"
542,"bone, treatment, osteoporosis, treatment osteoporosis, methods"
543,"gas, sensor, gas sensor, sensor gas, method"
544,"method, food, products, process, cocoa"
545,"electrode, process, electrodes, electrodeionization, metal"
546,"retardant, flame, flame retardant, composition, resin"
547,"mail, method, electronic, electronic mail, apparatus"
548,"damascene, dual, method, dual damascene, process"
549,"etching, method, etch, semiconductor, etch method"
550,"lithium, battery, secondary, electrode, material"
551,"cell, electrochemical, electrochemical cell, method, electrolyte"
552,"remote, control, remote control, method, monitoring"
553,"flip, flop, flip flop, circuit, flop circuit"
554,"buffer, circuit, input, output, buffer circuit"
555,"plasma, processing, plasma processing, apparatus, method"
556,"sputtering, target, magnetron, sputter, process"
557,"compositions, herbicidal, pesticidal, pesticides, insecticidal"
558,"interrupt, method, signals, interrupts, apparatus"
559,"flow, fluid, liquid, method, measuring"
560,"advertising, method, advertisements, internet, apparatus"
561,"digital, analog, converter, analog digital, digital converter"
562,"comparator, circuit, comparator circuit, digital, voltage"
563,"composite, method, material, composite material, manufacturing"
564,"laminate, laminated, apparatus, process, laminating"
565,"deposition, vapor, vapor deposition, chemical vapor, chemical"
566,"composition, compositions, gel, methods, gelatin"
567,"hydrogel, hydrogels, hydrogel forming, methods, compositions"
568,"microcapsules, release, microencapsulated, method, containing"
569,"ceramic, method, composition, producing, dielectric"
570,"film, method, apparatus, forming, film forming"
571,"anti, coating, reflective, anti reflective, coatings"
572,"water, treatment, waste, apparatus, method"
574,"casting, continuous, method, continuous casting, apparatus"
575,"molding, injection, injection molding, molded, machine"
576,"coating, thermal, barrier, thermal barrier, barrier coating"
577,"coating, composition, method, process, coatings"
578,"aluminum, steel, method, alloy, high"
579,"corrosion, inhibitors, resistant, method, inhibiting"
580,"capacitor, method, electrolytic, electrolytic capacitor, solid"
581,"capacitor, method, fabricating, method fabricating, semiconductor"
582,"electroplating, method, apparatus, device, metal"
583,"liposome, liposomes, delivery, lipid, methods"
584,"transformer, voltage, high, method, power"
585,"zeolite, catalyst, process, using, type"
586,"protection, device, voltage, circuit, overcurrent"
587,"surge, protector, surge protector, protection, electrical"
588,"amplifier, circuit, power, power amplifier, frequency"
589,"polysaccharides, method, use, oligosaccharide, polysaccharide"
590,"reference, voltage, reference voltage, circuit, generator"
591,"level, voltage, circuit, shifter, level shifter"
593,"user, interface, user interface, data, method"
594,"driver, circuit, output, driver circuit, output driver"
595,"circuit, integrated, method, integrated circuit, layout"
596,"coin, device, apparatus, method, device coin"
597,"vending, machine, vending machine, method, automatic vending"
598,"pulse, generator, pulse generator, method, width"
599,"signal, apparatus, processing, signal processing, method"
600,"testing, test, method, integrated, circuit"
601,"programmable, logic, programmable logic, device, logic device"
602,"power, supply, power supply, apparatus, supply apparatus"
603,"dc, converter, power, dc dc, dc converter"
604,"process, method, control, production, process control"
605,"method, handoff, communication, handover, mobile"
606,"bonding, method, wire, apparatus, bonding method"
607,"bonding, pad, method, bond, device"
609,"mechanical, planarizing, microelectronic, planarization, chemical"
611,"polishing, chemical, mechanical, chemical mechanical, mechanical polishing"
612,"wafer, cleaning, apparatus, semiconductor, method"
613,"wafer, method, semiconductor, wafers, processing"
614,"solder, method, soldering, apparatus, reflow"
615,"silicon, silicon carbide, carbide, method, sic"
616,"copper, method, forming, copper interconnect, interconnect"
617,"phase, detector, phase detector, circuit, method"
618,"synchronization, method, apparatus, synchronizing, device"
619,"antenna, method, array, apparatus, antennas"
620,"soi, method, device, contact, wafer"
621,"dielectric, method, layer, constant, dielectric constant"
622,"silicon, method, forming, film, apparatus"
623,"nitride, semiconductor, method, nitride semiconductor, device"
625,"clock, signal, clock signal, circuit, method"
626,"delay, circuit, delay circuit, variable, variable delay"
627,"loop, phase, locked, locked loop, phase locked"
628,"semiconductor, lead, lead frame, frame, package"
629,"chip, package, semiconductor, method, manufacturing"
630,"method, forming, contact, method forming, conductive"
631,"film, transistor, film transistor, method, manufacturing"
