cluster_id,auto_label,last_log_count,extrapolated_growth_5yr,last_date
235,"pigments, pigment, process, method, color",1.946,1.102,2025-10-01
1551,"terminal, method, device, control, terminal method",1.609,1.097,2025-10-01
557,"compositions, herbicidal, pesticidal, pesticides, insecticidal",1.946,1.064,2025-10-01
1315,"power, power factor, factor, factor correction, correction",1.946,1.061,2025-10-01
328,"method, wall, structure, construction, concrete",2.565,1.06,2025-10-01
602,"power, supply, power supply, apparatus, supply apparatus",3.219,0.994,2025-10-01
1521,"debris, debris removal, removal, method, apparatus",1.792,0.973,2025-10-01
178,"tape, tape measure, measure, measuring, measuring tape",2.833,0.968,2025-10-01
2353,"latency, network, method, reduction, packet",2.485,0.92,2025-10-01
23,"friction, stir, friction stir, welding, stir welding",2.398,0.897,2025-10-01
1718,"method, substrate, recording, processing, manufacturing",3.332,0.882,2025-10-01
1346,"clock, synchronization, method, synchronizing, signal",2.565,0.88,2025-10-01
2386,"anatomical, method, structures, anatomical structures, structure",2.303,0.879,2025-10-01
2245,"circuit, board, circuit board, assembly, electronic",2.398,0.878,2025-10-01
1820,"aircraft, power, method, electrical, supply",2.303,0.857,2025-10-01
959,"golf, golf club, club, shaft, method",2.303,0.798,2025-10-01
58,"image, apparatus, reading, reading apparatus, image reading",4.344,0.795,2025-10-01
205,"cooking, apparatus, cooking apparatus, food, device",3.689,0.785,2025-10-01
1778,"handwriting, input, method, handwriting input, device",2.398,0.784,2025-10-01
204,"grill, barbecue, barbecue grill, device, assembly",2.89,0.766,2025-10-01
1601,"smoke, detector, smoke detector, detection, sensor",2.197,0.742,2025-10-01
2304,"vehicle, control, vehicle control, medium, method",3.401,0.741,2025-10-01
742,"closure, device, closure device, device closure, dispensing",2.565,0.704,2025-10-01
568,"microcapsules, release, microencapsulated, method, containing",1.946,0.7,2025-10-01
2295,"resource, method, apparatus, method apparatus, resource allocation",3.219,0.682,2025-10-01
2308,"radioisotope, production, radioisotopes, radiopharmaceutical, producing",2.485,0.675,2025-10-01
603,"dc, converter, power, dc dc, dc converter",4.779,0.67,2025-10-01
1432,"metal, complexes, use, metal complexes, complex",2.639,0.656,2025-10-01
2273,"sensor, assembly, sensor assembly, assembly sensor, method",2.89,0.654,2025-10-01
2086,"spectrum, sharing, method, spectrum sharing, shared",2.708,0.627,2025-10-01
2387,"images, pathology, systems, systems methods, methods",2.833,0.623,2025-10-01
950,"lubricating, oil, compositions, lubricant, composition",3.045,0.506,2025-10-01
306,"ladder, device, surface, support, rung",3.091,0.488,2025-10-01
892,"glucose, blood, method, sugar, monitoring",3.178,0.467,2025-10-01
1294,"method, milking, cheese, milk, methods",2.197,0.461,2025-10-01
852,"cushion, cushioning, method, material, cushioning conversion",2.485,0.439,2025-10-01
1831,"robot, cleaner, robot cleaner, method, controlling",3.135,0.422,2025-10-01
2117,"spoofing, detection, spoofing detection, systems methods, methods",1.792,0.399,2025-10-01
1951,"sim, method, m2m, device, network",2.197,0.384,2025-10-01
2375,"spectrum, method, apparatus, management, method apparatus",3.178,0.325,2025-10-01
2371,"flap, vehicle, arrangement, method, flap arrangement",2.485,0.285,2025-10-01
1006,"plasmon, surface, surface plasmon, resonance, plasmon resonance",2.079,0.285,2025-10-01
1366,"waterproof, device, electronic, device waterproof, electronic device",2.398,0.278,2025-10-01
1762,"aircraft, method, device, trajectory, flight",2.565,0.263,2025-10-01
1344,"video, method, network, video conferencing, conferencing",2.944,0.257,2025-10-01
1915,"analysis, method, device, analysis method, analysis device",3.258,0.238,2025-10-01
1647,"rope, tensioner, method, tension, device",1.792,0.232,2025-10-01
619,"antenna, method, array, apparatus, antennas",5.278,0.214,2025-10-01
2037,"luggage, suitcase, baggage, item, luggage item",1.609,0.199,2025-10-01
332,"latch, mechanism, latching, latch mechanism, latch latch",3.497,0.167,2025-10-01
1775,"electrophotographic, process, apparatus, cartridge, member",3.807,0.147,2025-10-01
384,"vehicle, method, apparatus, device, information",2.773,0.144,2025-10-01
1870,"winding, device, winding device, method, machine",2.565,0.143,2025-10-01
267,"filter, resonator, tuning, dielectric, resonance",2.944,0.119,2025-10-01
2381,"semiconductor, semiconductor devices, devices, devices semiconductor, semiconductor device",5.176,0.059,2025-10-01
51,"toothbrush, brush, cleaning, toothbrush toothbrush, cleaning brush",2.079,0.056,2025-10-01
28,"nail, method, device, nailing, fungal",3.135,0.055,2025-10-01
1591,"privacy, data, preserving, privacy preserving, method",3.714,0.048,2025-10-01
1964,"method, route, apparatus, travel, planning",1.946,0.007,2025-10-01
1595,"diversity, method, wireless, transmit, transmit diversity",0.0,0.0,2025-10-01
1596,"terminal, antenna, mobile, portable, mobile terminal",0.0,0.0,2025-10-01
984,"scan, boundary, method, boundary scan, test",0.0,0.0,2025-10-01
1794,"broadcast, signals, broadcast signals, apparatus, receiving",0.0,0.0,2025-10-01
1612,"metamaterial, antenna, structures, electromagnetic, metamaterials",0.0,0.0,2025-10-01
981,"cmos, image, sensor, image sensor, cmos image",0.0,0.0,2025-10-01
1613,"projection, exposure, projection exposure, exposure apparatus, apparatus",0.0,0.0,2025-10-01
980,"photonic, crystal, photonic crystal, dimensional, optical",0.0,0.0,2025-10-01
978,"motion, estimation, motion estimation, method, image",0.0,0.0,2025-10-01
1602,"liquid crystal, crystal, liquid, lens, crystal lens",0.0,0.0,2025-10-01
1609,"vibrator, linear vibrator, linear, having, vibrator vibrator",0.0,0.0,2025-10-01
1619,"posture, method, therapy, apparatus, patient",0.0,0.0,2025-10-01
987,"finfet, device, finfet device, method, forming",0.0,0.0,2025-10-01
1623,"touch, panel, method, touch panel, manufacturing",0.0,0.0,2025-10-01
1000,"auction, method, auction method, bidding, conducting",0.0,0.0,2025-10-01
1607,"closed, captioning, closed captioning, method, caption",0.0,0.0,2025-10-01
991,"cluster, availability, high availability, high, computer",0.0,0.0,2025-10-01
601,"programmable, logic, programmable logic, device, logic device",0.0,0.0,2025-10-01
604,"process, method, control, production, process control",0.0,0.0,2025-10-01
692,"dram, method, cell, forming, dram cell",0.0,0.0,2025-10-01
657,"delivery, drug, drug delivery, methods, device",0.0,0.0,2025-10-01
694,"kinase, protein, expression, protein kinase, antisense",0.0,0.0,2025-10-01
695,"derivatives, quinoline, quinoline derivatives, quinazoline, substituted",0.0,0.0,2025-10-01
679,"streptococcus, staphylococcus, pneumoniae, streptococcus pneumoniae, aureus",0.0,0.0,2025-10-01
682,"virus, use, vaccine, viral, mammalian",0.0,0.0,2025-10-01
628,"semiconductor, lead, lead frame, frame, package",0.0,0.0,2025-10-01
1037,"voting, method, apparatus, electronic, electronic voting",0.0,0.0,2025-10-01
632,"trench, isolation, trench isolation, method, shallow trench",0.0,0.0,2025-10-01
633,"polysilicon, method, film, transistor, method forming",0.0,0.0,2025-10-01
688,"instruction, processor, method, execution, data",0.0,0.0,2025-10-01
647,"composition, supplement, nutritional, methods, method",0.0,0.0,2025-10-01
649,"polymerization, catalyst, catalysts, use, process",0.0,0.0,2025-10-01
650,"gas, method, apparatus, gases, purification",0.0,0.0,2025-10-01
636,"elastomers, elastomer, thermoplastic, thermoplastic elastomer, composition",0.0,0.0,2025-10-01
639,"meth, acrylic, acid, acrylic acid, process",0.0,0.0,2025-10-01
626,"delay, circuit, delay circuit, variable, variable delay",0.0,0.0,2025-10-01
631,"film, transistor, film transistor, method, manufacturing",0.0,0.0,2025-10-01
1795,"image, optical, optical image, image capturing, capturing",0.0,0.0,2025-10-01
1781,"il, antibodies, anti, binding, receptor",0.0,0.0,2025-10-01
1784,"receptor, modulators, derivatives, sphingosine, phosphate",0.0,0.0,2025-10-01
1798,"inbred, line, corn, inbred corn, corn line",0.0,0.0,2025-10-01
1804,"numerical, control, numerical control, device, control device",0.0,0.0,2025-10-01
1808,"tape, data, storage, method, tape drive",0.0,0.0,2025-10-01
1787,"mobile, security, device, secure, mobile device",0.0,0.0,2025-10-01
1789,"question, answering, question answering, answer, question answer",0.0,0.0,2025-10-01
1790,"method, tunnel, network, ipv6, apparatus",0.0,0.0,2025-10-01
616,"copper, method, forming, copper interconnect, interconnect",0.0,0.0,2025-10-01
999,"protein, proteins, methods, recombinant, method",0.0,0.0,2025-10-01
997,"protease, serine, inhibitors, serine protease, proteases",0.0,0.0,2025-10-01
590,"reference, voltage, reference voltage, circuit, generator",0.0,0.0,2025-10-01
595,"circuit, integrated, method, integrated circuit, layout",0.0,0.0,2025-10-01
995,"jitter, method, apparatus, method apparatus, measuring",0.0,0.0,2025-10-01
596,"coin, device, apparatus, method, device coin",0.0,0.0,2025-10-01
1818,"hygiene, hand, method, hand hygiene, device",0.0,0.0,2025-10-01
646,"epoxy, resin, epoxy resin, resins, epoxy resins",0.0,0.0,2025-10-01
1819,"conduit, conduit conduit, method, conduit fitting, fitting",0.0,0.0,2025-10-01
659,"release, sustained, sustained release, controlled, controlled release",0.0,0.0,2025-10-01
1791,"language, natural language, natural, method, processing",0.0,0.0,2025-10-01
505,"fuel, tank, fuel tank, method, vehicle",0.0,0.0,2025-10-01
488,"thermal, printer, thermal printer, head, print",0.0,0.0,2025-10-01
495,"fuel, pump, fuel pump, pump fuel, injection",0.0,0.0,2025-10-01
1899,"cigarette, electronic cigarette, electronic, atomizer, assembly",0.0,0.0,2025-10-01
1900,"motor, vibration, vibration motor, motor vibration, linear",0.0,0.0,2025-10-01
1902,"egg, method, eggs, device, methods",0.0,0.0,2025-10-01
1903,"ultrasonic, surgical, ultrasonic surgical, instrument, surgical instrument",0.0,0.0,2025-10-01
1066,"peer, peer peer, method, network, communication",0.0,0.0,2025-10-01
1067,"content, distribution, method, content distribution, contents",0.0,0.0,2025-10-01
1068,"scheduling, method, based, using, scheduling method",0.0,0.0,2025-10-01
985,"compression, engine, ignition, compression ignition, combustion",0.0,0.0,2025-10-01
1057,"mercury, method, gas, removing, removal",0.0,0.0,2025-10-01
1058,"wafer, wafer level, level, method, package",0.0,0.0,2025-10-01
1071,"fluoropolymer, fluoropolymers, compositions, containing, film",0.0,0.0,2025-10-01
1072,"access, control, access control, method, apparatus",0.0,0.0,2025-10-01
1073,"security, computer, method, secure, systems",0.0,0.0,2025-10-01
1076,"hepatitis, virus, hepatitis virus, hcv, infection",0.0,0.0,2025-10-01
1018,"address, method, addresses, apparatus, information",0.0,0.0,2025-10-01
1021,"nanowire, nanowires, methods, method, array",0.0,0.0,2025-10-01
1022,"knee, prosthesis, knee prosthesis, joint, knee joint",0.0,0.0,2025-10-01
1010,"printhead, assembly, printhead assembly, inkjet, inkjet printhead",0.0,0.0,2025-10-01
1069,"xml, method, documents, xml documents, using",0.0,0.0,2025-10-01
1112,"floor, flooring, method, modular, floor tile",0.0,0.0,2025-10-01
1554,"pixel, structure, pixel structure, method, structure pixel",0.0,0.0,2025-10-01
1559,"suture, method, sutures, suturing, barbed",0.0,0.0,2025-10-01
1544,"cup, holder, cup holder, assembly, holder cup",0.0,0.0,2025-10-01
1547,"menu, method, menus, user, device",0.0,0.0,2025-10-01
1582,"contact, center, contact center, method, management",0.0,0.0,2025-10-01
1583,"production, yeast, fatty, using, acids",0.0,0.0,2025-10-01
1561,"transparent, conductive, film, conductive film, transparent conductive",0.0,0.0,2025-10-01
1564,"lignocellulosic, biomass, process, material, lignocellulosic biomass",0.0,0.0,2025-10-01
1565,"secure, method, transactions, electronic, transaction",0.0,0.0,2025-10-01
1897,"controller, game, game controller, controller game, flexible bridge",0.0,0.0,2025-10-01
1048,"optical, scanning, optical scanning, device, scanning device",0.0,0.0,2025-10-01
1875,"blow, molding, blow molding, machine, method",0.0,0.0,2025-10-01
554,"buffer, circuit, input, output, buffer circuit",0.0,0.0,2025-10-01
542,"bone, treatment, osteoporosis, treatment osteoporosis, methods",0.0,0.0,2025-10-01
1881,"methods, infections, bacterial, method, treatment",0.0,0.0,2025-10-01
1884,"power, supply, power supply, device, supply device",0.0,0.0,2025-10-01
1863,"light, light emitting, emitting, element, emitting element",0.0,0.0,2025-10-01
1868,"semiconductor, fin, semiconductor device, device, structure",0.0,0.0,2025-10-01
1906,"circuit, goa, display, goa circuit, device",0.0,0.0,2025-10-01
1887,"branch, prediction, branch prediction, instruction, control",0.0,0.0,2025-10-01
1896,"tonneau, tonneau cover, cover, clamp, trunk",0.0,0.0,2025-10-01
1044,"liquid, liquid crystal, crystal, panel, crystal display",0.0,0.0,2025-10-01
622,"silicon, method, forming, film, apparatus",0.0,0.0,2025-10-01
607,"bonding, pad, method, bond, device",0.0,0.0,2025-10-01
609,"mechanical, planarizing, microelectronic, planarization, chemical",0.0,0.0,2025-10-01
1838,"semiconductor, circuit, integrated, integrated circuit, semiconductor integrated",0.0,0.0,2025-10-01
1840,"assembly, method, assembly method, assembly assembly, access",0.0,0.0,2025-10-01
1821,"oral, oral care, care, implement, care implement",0.0,0.0,2025-10-01
1823,"ink, recording, inkjet, inkjet recording, method",0.0,0.0,2025-10-01
1832,"power, power headroom, headroom, method, reporting",0.0,0.0,2025-10-01
1843,"food, cutting, slicing, slicer, apparatus",0.0,0.0,2025-10-01
1848,"display, curved, curved display, device, apparatus",0.0,0.0,2025-10-01
1014,"recognition, handwriting, method, handwritten, character",0.0,0.0,2025-10-01
1850,"molecular, sieve, molecular sieve, method, synthesis",0.0,0.0,2025-10-01
1833,"shaft, seal, sealing, shaft seal, rotary",0.0,0.0,2025-10-01
1834,"d2d, device, communication, method, d2d communication",0.0,0.0,2025-10-01
1836,"methods, molecules, pcr, method, detection",0.0,0.0,2025-10-01
1855,"tools, earth boring, boring, earth, boring tools",0.0,0.0,2025-10-01
1857,"switch, frequency, radio, radio frequency, rf",0.0,0.0,2025-10-01
1842,"holster, holster holster, handgun, device, handgun holster",0.0,0.0,2025-10-01
1587,"sulfur, method, gas, sulfide, removal",0.0,0.0,2025-10-01
1588,"influenza, virus, influenza virus, thereof, method",0.0,0.0,2025-10-01
1589,"storage, virtual, method, virtualization, disk",0.0,0.0,2025-10-01
1849,"delivery, nanoparticles, nanoparticle, cancer, targeted",0.0,0.0,2025-10-01
1041,"jet, liquid, liquid jet, jet head, head",0.0,0.0,2025-10-01
1042,"toner, image, electrostatic, forming, developing",0.0,0.0,2025-10-01
1025,"interferon, alpha, beta, gamma, methods",0.0,0.0,2025-10-01
1026,"silicon, epitaxial, germanium, layer, silicon germanium",0.0,0.0,2025-10-01
1029,"class, amplifier, class amplifier, method, amplifier class",0.0,0.0,2025-10-01
581,"capacitor, method, fabricating, method fabricating, semiconductor",0.0,0.0,2025-10-01
565,"deposition, vapor, vapor deposition, chemical vapor, chemical",0.0,0.0,2025-10-01
571,"anti, coating, reflective, anti reflective, coatings",0.0,0.0,2025-10-01
558,"interrupt, method, signals, interrupts, apparatus",0.0,0.0,2025-10-01
559,"flow, fluid, liquid, method, measuring",0.0,0.0,2025-10-01
620,"soi, method, device, contact, wafer",0.0,0.0,2025-10-01
576,"coating, thermal, barrier, thermal barrier, barrier coating",0.0,0.0,2025-10-01
537,"cooling, device, method, apparatus, cooling device",0.0,0.0,2025-10-01
526,"ink, jet, ink jet, printer, jet printer",0.0,0.0,2025-10-01
530,"ink, composition, inks, ink composition, change",0.0,0.0,2025-10-01
531,"grid, grid array, array, ball grid, ball",0.0,0.0,2025-10-01
582,"electroplating, method, apparatus, device, metal",0.0,0.0,2025-10-01
544,"method, food, products, process, cocoa",0.0,0.0,2025-10-01
545,"electrode, process, electrodes, electrodeionization, metal",0.0,0.0,2025-10-01
547,"mail, method, electronic, electronic mail, apparatus",0.0,0.0,2025-10-01
548,"damascene, dual, method, dual damascene, process",0.0,0.0,2025-10-01
618,"synchronization, method, apparatus, synchronizing, device",0.0,0.0,2025-10-01
583,"liposome, liposomes, delivery, lipid, methods",0.0,0.0,2025-10-01
1714,"electronic, cigarette, electronic cigarette, device, cigarette electronic",0.0,0.0,2025-10-01
774,"television, method, multimedia, program, network",0.0,0.0,2025-10-01
781,"water, heater, water heater, hot, hot water",0.0,0.0,2025-10-01
767,"headlamp, vehicle, vehicle headlamp, headlamp vehicle, vehicular",0.0,0.0,2025-10-01
768,"light, light emitting, emitting, emitting diode, diode",0.0,0.0,2025-10-01
769,"light, device, emitting, light emitting, emitting device",0.0,0.0,2025-10-01
770,"image, color, forming, image forming, color image",0.0,0.0,2025-10-01
772,"method, dimensional, apparatus, shape, surface",0.0,0.0,2025-10-01
855,"starter, engine, engine starter, internal, internal combustion",0.0,0.0,2025-10-01
863,"nox, method, reduction, nox reduction, combustion",0.0,0.0,2025-10-01
1109,"simulation, method, model, program, simulating",0.0,0.0,2025-10-01
848,"tool, machine, machine tool, tool machine, dicing machine",0.0,0.0,2025-10-01
804,"trench, semiconductor, method, gate, semiconductor device",0.0,0.0,2025-10-01
805,"data, transfer, data transfer, method, transfer control",0.0,0.0,2025-10-01
865,"microelectronic, methods, package, assemblies, microelectronic device",0.0,0.0,2025-10-01
869,"delay, loop, locked, delay locked, locked loop",0.0,0.0,2025-10-01
872,"compounds, compounds compounds, organic, organic compounds, compound",0.0,0.0,2025-10-01
873,"debug, debugging, method, processor, method apparatus",0.0,0.0,2025-10-01
828,"paintball, gun, paint, paint ball, ball",0.0,0.0,2025-10-01
810,"queue, method, apparatus, method apparatus, queuing",0.0,0.0,2025-10-01
1381,"athletic, sports, performance, methods, information",0.0,0.0,2025-10-01
847,"backlight, module, device, backlight module, light",0.0,0.0,2025-10-01
935,"array, disk, disk array, storage, method",0.0,0.0,2025-10-01
937,"memory, method, content addressable, content, addressable memory",0.0,0.0,2025-10-01
938,"method, apparatus, resource, configuration, resources",0.0,0.0,2025-10-01
890,"reticle, method, reticles, methods, reticle reticle",0.0,0.0,2025-10-01
874,"document, method, apparatus, processing, method apparatus",0.0,0.0,2025-10-01
876,"gene, genes, expression, methods, use",0.0,0.0,2025-10-01
877,"vaccines, vaccine, thereof, use, methods",0.0,0.0,2025-10-01
878,"terminal, mobile, mobile terminal, communication, method",0.0,0.0,2025-10-01
879,"communication, method, communication method, communication communication, method communication",0.0,0.0,2025-10-01
906,"apparatus, radiation, image, method, radiation image",0.0,0.0,2025-10-01
1713,"laser, probe, laser probe, steerable, steerable laser",0.0,0.0,2025-10-01
898,"orthodontic, bracket, orthodontic bracket, orthodontic brackets, method",0.0,0.0,2025-10-01
899,"liquid crystal, liquid, crystal, crystal display, display",0.0,0.0,2025-10-01
1703,"frequency, phase, synthesizer, frequency synthesizer, method",0.0,0.0,2025-10-01
1706,"memory, resistive, resistance, resistive memory, variable",0.0,0.0,2025-10-01
1707,"compounds, heterocyclic, heterocyclic compounds, uses, compounds uses",0.0,0.0,2025-10-01
829,"flotation, device, flotation device, method, machine",0.0,0.0,2025-10-01
830,"micromirror, actuator, micromirror actuator, method, device",0.0,0.0,2025-10-01
831,"leakage, current, method, leakage current, apparatus",0.0,0.0,2025-10-01
1724,"printing, dimensional, method, flexographic, apparatus",0.0,0.0,2025-10-01
1725,"hall, sensor, hall effect, effect, hall sensor",0.0,0.0,2025-10-01
893,"ball, grid, ball grid, grid array, array",0.0,0.0,2025-10-01
1700,"cells, cell, methods, method, using",0.0,0.0,2025-10-01
1702,"solid state, solid, state, drive, state drive",0.0,0.0,2025-10-01
1682,"vehicle, electric, control, electric vehicle, method",0.0,0.0,2025-10-01
1686,"engine, cooling, engine cooling, combustion engine, combustion",0.0,0.0,2025-10-01
837,"apparatus, method, lithographic, device, manufacturing",0.0,0.0,2025-10-01
838,"ferroelectric, method, capacitor, ferroelectric capacitor, device",0.0,0.0,2025-10-01
1383,"device, rotation, rotating, mechanism, electronic",0.0,0.0,2025-10-01
841,"plate, apparatus, method, plates, apparatus method",0.0,0.0,2025-10-01
26,"method, calender, calendar, apparatus, method apparatus",0.0,0.0,2025-10-01
29,"semiconductor, device, semiconductor device, method, device method",0.0,0.0,2025-10-01
814,"kinase, protein, human, protein kinase, proteins",0.0,0.0,2025-10-01
45,"optical, pickup, optical pickup, device, pickup device",0.0,0.0,2025-10-01
31,"fluorescent, fluorescence, method, detection, apparatus",0.0,0.0,2025-10-01
32,"fischer tropsch, fischer, tropsch, process, catalyst",0.0,0.0,2025-10-01
35,"floral, method, having, flower, floral grouping",0.0,0.0,2025-10-01
37,"sigma, delta, delta sigma, digital, analog",0.0,0.0,2025-10-01
38,"gasket, metal, gaskets, head, cylinder",0.0,0.0,2025-10-01
11,"diaper, disposable, disposable diaper, diapers, diapers disposable",0.0,0.0,2025-10-01
12,"candle, method, apparatus, filter, making",0.0,0.0,2025-10-01
2,"lighter, safety, resistant, gas lighter, gas",0.0,0.0,2025-10-01
4,"silver, silver halide, halide, photographic, material",0.0,0.0,2025-10-01
19,"display, plasma display, plasma, panel, display panel",0.0,0.0,2025-10-01
819,"channel, estimation, method, transmission, channel estimation",0.0,0.0,2025-10-01
801,"gate, dielectric, method, high, gate dielectric",0.0,0.0,2025-10-01
802,"contact, method, contacts, making, electrical",0.0,0.0,2025-10-01
832,"rivet, method, riveting, self, piercing",0.0,0.0,2025-10-01
833,"wind, power, turbine, wind turbine, power plant",0.0,0.0,2025-10-01
834,"substrate, array, array substrate, display, method",0.0,0.0,2025-10-01
821,"interference, radio, method, signal, cancellation",0.0,0.0,2025-10-01
822,"derivatives, indole, indole derivatives, substituted, preparation",0.0,0.0,2025-10-01
824,"derivatives, pyridine, compounds, substituted, pyrimidine",0.0,0.0,2025-10-01
1669,"semiconductor, oxide, oxide semiconductor, semiconductor device, device",0.0,0.0,2025-10-01
811,"thermoplastic, thermoplastic resin, resin, resin composition, composition",0.0,0.0,2025-10-01
901,"nucleic, polypeptides, nucleic acids, acids, encoding",0.0,0.0,2025-10-01
902,"transmission, variable, variable transmission, continuously variable, continuously",0.0,0.0,2025-10-01
903,"train, method, control, controlling, drive",0.0,0.0,2025-10-01
1688,"transmitting, method, control, device, information",0.0,0.0,2025-10-01
1676,"transistor, method, manufacturing, method manufacturing, manufacturing transistor",0.0,0.0,2025-10-01
1677,"oil, recovery, method, oil recovery, spill",0.0,0.0,2025-10-01
1681,"fuel, composition, fuel composition, compositions, fuel compositions",0.0,0.0,2025-10-01
1664,"prosthesis, prosthetic, methods, prosthesis prosthesis, method",0.0,0.0,2025-10-01
1667,"display, dimensional, image, method, 3d",0.0,0.0,2025-10-01
1696,"method, producing, glycosylated, galactosidase, proteins",0.0,0.0,2025-10-01
1672,"current, sensor, current sensor, sensor current, method",0.0,0.0,2025-10-01
663,"angiogenesis, method, methods, inhibitors, inhibitor",0.0,0.0,2025-10-01
664,"growth, factor, growth factor, vegf, igf",0.0,0.0,2025-10-01
665,"protease, inhibitors, protease inhibitors, proteases, protease inhibitor",0.0,0.0,2025-10-01
667,"method, transaction, commerce, allowed, electronic",0.0,0.0,2025-10-01
669,"modem, line, pcm, host, digital",0.0,0.0,2025-10-01
683,"process, sulfur, hydrogen, sulfide, desulfurization",0.0,0.0,2025-10-01
686,"flash, memory, flash memory, method, device",0.0,0.0,2025-10-01
670,"memory, semiconductor, semiconductor memory, memory device, device",0.0,0.0,2025-10-01
671,"estrogen, receptor, methods, compounds, estrogen receptor",0.0,0.0,2025-10-01
672,"process, producing, process producing, method, fluoropolymer",0.0,0.0,2025-10-01
921,"film, optical, film optical, light, antireflection film",0.0,0.0,2025-10-01
675,"spread, spectrum, spread spectrum, method, direct",0.0,0.0,2025-10-01
1737,"drawing, method, sketch, apparatus, drawing method",0.0,0.0,2025-10-01
1740,"diverter, flow, flow diverter, using, method",0.0,0.0,2025-10-01
1741,"toner, toner toner, yellow, yellow toner, tones",0.0,0.0,2025-10-01
1742,"method, articles, article, making, manufacturing",0.0,0.0,2025-10-01
1743,"gear, transmission, planetary, planetary gear, train",0.0,0.0,2025-10-01
1767,"tunneling, field effect, effect, field, transistor",0.0,0.0,2025-10-01
1745,"microwave, heating, microwave heating, apparatus, heating apparatus",0.0,0.0,2025-10-01
1746,"m2m, method, device, bearer, communication",0.0,0.0,2025-10-01
1752,"suture, anchor, suture anchor, knotless, knotless suture",0.0,0.0,2025-10-01
673,"treatment, cancer, tumor, treating, method",0.0,0.0,2025-10-01
988,"soi, semiconductor, device, method, semiconductor device",0.0,0.0,2025-10-01
990,"power, method, consumption, state, power consumption",0.0,0.0,2025-10-01
1001,"digital, content, rights, rights management, management",0.0,0.0,2025-10-01
1002,"terminal, portable, portable terminal, information, method",0.0,0.0,2025-10-01
1004,"display, panel, display panel, plasma, plasma display",0.0,0.0,2025-10-01
993,"pulse, width, pulse width, modulation, method",0.0,0.0,2025-10-01
956,"printhead, ink, jet, ink jet, having",0.0,0.0,2025-10-01
958,"probe, card, probe card, method, low",0.0,0.0,2025-10-01
945,"photomask, method, manufacturing, photomask method, manufacturing method",0.0,0.0,2025-10-01
948,"force, probe, microscope, atomic, atomic force",0.0,0.0,2025-10-01
662,"antimicrobial, composition, method, antibacterial, agents",0.0,0.0,2025-10-01
964,"encoder, optical, optical encoder, encoder optical, using fiber",0.0,0.0,2025-10-01
965,"press, pressing, apparatus, method, pressing apparatus",0.0,0.0,2025-10-01
966,"wrench, wrench wrench, adjustable, torque, structure",0.0,0.0,2025-10-01
719,"radio, method, communication, mobile, base",0.0,0.0,2025-10-01
720,"speech, method, apparatus, recognition, speech recognition",0.0,0.0,2025-10-01
721,"voice, method, internet, voice response, interactive voice",0.0,0.0,2025-10-01
707,"database, method, query, materialized, relational",0.0,0.0,2025-10-01
714,"oligonucleotides, oligonucleotide, 8242, modified, analogs",0.0,0.0,2025-10-01
716,"data, method, transmission, apparatus, data transmission",0.0,0.0,2025-10-01
676,"cdma, method, apparatus, communication, cdma cellular",0.0,0.0,2025-10-01
974,"lens, optical, objective lens, objective, pickup",0.0,0.0,2025-10-01
787,"oxide, zirconium, metal, process, method",0.0,0.0,2025-10-01
