cluster_id,auto_label,last_log_count,forecast_log_count,predicted_growth,last_date
437,"electro, device, optical, electro optical, optical device",0.0,0.477,0.477,2025-10-01
1836,"methods, molecules, pcr, method, detection",0.0,0.476,0.476,2025-10-01
1648,"transmission, method, apparatus, transmission apparatus, apparatus transmission",0.0,0.475,0.475,2025-10-01
1166,"traffic, method, network, management, measurement",0.0,0.47,0.47,2025-10-01
888,"golf, golf club, club, head, club head",2.197,2.667,0.469,2025-10-01
2038,"bed, truck, truck bed, cargo, cargo bed",0.0,0.46,0.46,2025-10-01
259,"golf, club, golf club, method, head",0.0,0.457,0.457,2025-10-01
1078,"mobile, mobility, method, management, ip",0.0,0.454,0.454,2025-10-01
171,"semiconductor, manufacturing, device, semiconductor device, method",0.0,0.44,0.44,2025-10-01
1059,"card, reader, card reader, ic, ic card",3.296,3.735,0.439,2025-10-01
2103,"ceramic, electronic, component, electronic component, ceramic electronic",0.0,0.438,0.438,2025-10-01
349,"substrate, method, apparatus, processing, device",1.946,2.373,0.427,2025-10-01
1429,"wireless, transfer, power, wireless power, energy",4.078,4.503,0.426,2025-10-01
1724,"printing, dimensional, method, flexographic, apparatus",0.0,0.424,0.424,2025-10-01
1954,"fibrous, structures, material, fibrous structures, fibrous material",0.0,0.423,0.423,2025-10-01
2006,"weather, method, data, methods, systems",0.0,0.414,0.414,2025-10-01
1060,"deposition, layer, method, layer deposition, atomic layer",0.0,0.414,0.414,2025-10-01
916,"diverter, faucet, water, hot water, assembly",2.303,2.714,0.411,2025-10-01
394,"imaging, method, apparatus, use, imaging device",2.833,3.243,0.41,2025-10-01
835,"duct, method, assembly, apparatus, ducts",0.0,0.402,0.402,2025-10-01
965,"press, pressing, apparatus, method, pressing apparatus",0.0,0.402,0.402,2025-10-01
40,"bar, code, bar code, method, scanning",2.303,2.699,0.397,2025-10-01
1404,"animation, user, method, graphics, interface",0.0,0.39,0.39,2025-10-01
1320,"blower, blower blower, systems, motor, blower motor",2.303,2.692,0.389,2025-10-01
2144,"heart, failure, heart failure, treating, methods",0.0,0.389,0.389,2025-10-01
942,"variety, soybean variety, soybean, variety xb10l04, variety 94m41",3.219,3.607,0.388,2025-10-01
1343,"firewall, method, network, computer, program",0.0,0.388,0.388,2025-10-01
1971,"panoramic, image, panoramic image, method, images",0.0,0.379,0.379,2025-10-01
71,"glove, gloves, protective, powder free, free",2.565,2.938,0.373,2025-10-01
2088,"sram, cell, structure, sram cell, port",0.0,0.37,0.37,2025-10-01
2012,"pen, ballpoint pen, electronic, ballpoint, tip",1.386,1.755,0.369,2025-10-01
2041,"vehicle, operating, method, device, operating vehicle",0.0,0.365,0.365,2025-10-01
707,"database, method, query, materialized, relational",0.0,0.365,0.365,2025-10-01
1182,"bushing, method, coupling, bushing method, high voltage",0.0,0.364,0.364,2025-10-01
1109,"simulation, method, model, program, simulating",0.0,0.362,0.362,2025-10-01
1864,"flow, redox, redox flow, battery, flow battery",0.0,0.362,0.362,2025-10-01
1914,"evacuation, apparatus, emergency, device, notification",0.0,0.362,0.362,2025-10-01
2044,"biofilm, method, biofilms, methods, treatment",0.0,0.361,0.361,2025-10-01
1037,"voting, method, apparatus, electronic, electronic voting",0.0,0.36,0.36,2025-10-01
898,"orthodontic, bracket, orthodontic bracket, orthodontic brackets, method",0.0,0.36,0.36,2025-10-01
736,"pulse, oximeter, sensor, pulse oximetry, oximetry",0.0,0.36,0.36,2025-10-01
1388,"shelving, shelf, unit, shelving unit, shelving shelf",2.079,2.44,0.36,2025-10-01
1554,"pixel, structure, pixel structure, method, structure pixel",0.0,0.358,0.358,2025-10-01
1674,"condenser, condensation, liquid, method, air",0.0,0.356,0.356,2025-10-01
966,"wrench, wrench wrench, adjustable, torque, structure",0.0,0.356,0.356,2025-10-01
1486,"screening, method, screening screening, screening machine, applicant screening",0.0,0.354,0.354,2025-10-01
2068,"ticket, method, systems, ticketing, methods",0.0,0.353,0.353,2025-10-01
1926,"arc, detection, electrical, arc detection, device",0.0,0.352,0.352,2025-10-01
2251,"hydrant, hydration, device, method, hydrate",0.0,0.352,0.352,2025-10-01
550,"lithium, battery, secondary, electrode, material",2.639,2.988,0.349,2025-10-01
1842,"holster, holster holster, handgun, device, handgun holster",0.0,0.349,0.349,2025-10-01
609,"mechanical, planarizing, microelectronic, planarization, chemical",0.0,0.349,0.349,2025-10-01
1697,"virtual, virtual machines, machines, method, security",0.0,0.348,0.348,2025-10-01
1020,"lead, medical, implantable, electrical, electrical lead",0.0,0.347,0.347,2025-10-01
2102,"surveying, method, instrument, surveying instrument, dimensional",0.0,0.346,0.346,2025-10-01
934,"ofdm, method, apparatus, communication, systems",0.0,0.345,0.345,2025-10-01
1698,"network, virtual, virtual network, method, interface",0.0,0.345,0.345,2025-10-01
1481,"wheat, wheat variety, variety, plants, seeds common",2.639,2.983,0.344,2025-10-01
2214,"cleaner, cleaner cleaner, uses cleaner, uses, pruner",0.0,0.344,0.344,2025-10-01
562,"comparator, circuit, comparator circuit, digital, voltage",0.0,0.343,0.343,2025-10-01
1405,"particulate, particulate matter, matter, sensor, matter sensor",0.0,0.343,0.343,2025-10-01
1784,"receptor, modulators, derivatives, sphingosine, phosphate",0.0,0.342,0.342,2025-10-01
991,"cluster, availability, high availability, high, computer",0.0,0.341,0.341,2025-10-01
568,"microcapsules, release, microencapsulated, method, containing",1.946,2.285,0.339,2025-10-01
24,"hood, vehicle hood, vehicle, apparatus, protection",2.303,2.641,0.338,2025-10-01
785,"starch, process, containing, starch process, method",0.0,0.336,0.336,2025-10-01
1349,"translation, machine translation, machine, method, model",0.0,0.334,0.334,2025-10-01
316,"workpiece, apparatus, method, workpieces, processing",0.0,0.334,0.334,2025-10-01
1064,"filtration, method, device, water, filtration device",2.398,2.732,0.334,2025-10-01
2034,"device, assist, ventricular, ventricular assist, heart",0.0,0.332,0.332,2025-10-01
74,"memory, ferroelectric, ferroelectric memory, method, memory device",2.773,3.104,0.332,2025-10-01
1361,"lettuce, line, lettuce line, cultivar, lettuce cultivar",0.0,0.331,0.331,2025-10-01
838,"ferroelectric, method, capacitor, ferroelectric capacitor, device",0.0,0.33,0.33,2025-10-01
2194,"sentiment, method, analysis, sentiment analysis, data",0.0,0.329,0.329,2025-10-01
1850,"molecular, sieve, molecular sieve, method, synthesis",0.0,0.328,0.328,2025-10-01
179,"energy, absorbing, energy absorbing, impact, structure",2.197,2.524,0.327,2025-10-01
2066,"resonator, filter, tunable, frequency, band",0.0,0.327,0.327,2025-10-01
1136,"method, sales, support, sales support, selling",0.0,0.327,0.327,2025-10-01
2189,"synchronization, data, data synchronization, synchronizing, method",0.0,0.325,0.325,2025-10-01
1980,"virtual, virtual machine, machine, recovery, snapshots",0.0,0.325,0.325,2025-10-01
1326,"substance, detecting, method, target, target substance",0.0,0.324,0.324,2025-10-01
713,"nucleic, polypeptide, nucleic acids, polypeptides, acids",2.639,2.963,0.324,2025-10-01
839,"dust, vacuum, cleaner, cyclone dust, cyclone",2.398,2.721,0.323,2025-10-01
974,"lens, optical, objective lens, objective, pickup",0.0,0.322,0.322,2025-10-01
1798,"inbred, line, corn, inbred corn, corn line",0.0,0.321,0.321,2025-10-01
603,"dc, converter, power, dc dc, dc converter",4.779,5.097,0.318,2025-10-01
2336,"capacitor, capacitor capacitor, component, capacitor component, module",0.0,0.318,0.318,2025-10-01
1430,"method, coupon, coupons, reward, program",0.0,0.318,0.318,2025-10-01
863,"nox, method, reduction, nox reduction, combustion",0.0,0.317,0.317,2025-10-01
183,"spring, leaf, leaf spring, method, having",0.0,0.317,0.317,2025-10-01
1768,"data, data center, center, cooling, center cooling",0.0,0.316,0.316,2025-10-01
811,"thermoplastic, thermoplastic resin, resin, resin composition, composition",0.0,0.316,0.316,2025-10-01
2326,"drilling, fluid, drilling fluid, based, based drilling",0.0,0.316,0.316,2025-10-01
1932,"slurry, method, methods, slurries, systems",0.0,0.314,0.314,2025-10-01
1205,"power, ethernet, power ethernet, method, classification",0.0,0.311,0.311,2025-10-01
1903,"ultrasonic, surgical, ultrasonic surgical, instrument, surgical instrument",0.0,0.311,0.311,2025-10-01
2159,"cutting, insert, tool, cutting insert, cutting tool",0.0,0.311,0.311,2025-10-01
856,"toner, image, method, image forming, forming",2.485,2.796,0.311,2025-10-01
2128,"corrosion, method, detection, monitoring, corrosion detection",0.0,0.309,0.309,2025-10-01
2209,"motion, vector, motion vector, method, prediction",0.0,0.309,0.309,2025-10-01
1112,"floor, flooring, method, modular, floor tile",0.0,0.309,0.309,2025-10-01
848,"tool, machine, machine tool, tool machine, dicing machine",0.0,0.308,0.308,2025-10-01
2121,"pulmonary, methods, treating, lung, methods treating",0.0,0.307,0.307,2025-10-01
310,"steering, power, power steering, electric, apparatus",0.0,0.305,0.305,2025-10-01
911,"lighting, device, illumination, apparatus, illuminating",2.303,2.607,0.304,2025-10-01
329,"rack, shelf, mounting, display, cabinet",0.0,0.304,0.304,2025-10-01
1160,"memory, resistance, device, resistive, memory device",0.0,0.304,0.304,2025-10-01
1787,"mobile, security, device, secure, mobile device",0.0,0.303,0.303,2025-10-01
475,"fibers, fiber, method, process, producing",2.565,2.867,0.302,2025-10-01
1730,"leash, harness, pet, retractable, animal",0.0,0.302,0.302,2025-10-01
814,"kinase, protein, human, protein kinase, proteins",0.0,0.301,0.301,2025-10-01
985,"compression, engine, ignition, compression ignition, combustion",0.0,0.3,0.3,2025-10-01
1696,"method, producing, glycosylated, galactosidase, proteins",0.0,0.3,0.3,2025-10-01
1336,"casting, method, casting method, die, die casting",0.0,0.3,0.3,2025-10-01
1913,"ultraviolet, disinfection, disinfecting, light, uv",2.773,3.073,0.3,2025-10-01
986,"turbine, blade, turbine blade, cooling, airfoil",0.0,0.299,0.299,2025-10-01
874,"document, method, apparatus, processing, method apparatus",0.0,0.299,0.299,2025-10-01
1500,"brake, hydraulic, hydraulic brake, vehicle, pressure",0.0,0.298,0.298,2025-10-01
1053,"image, apparatus, image sensing, sensing, sensing apparatus",1.792,2.089,0.297,2025-10-01
1791,"language, natural language, natural, method, processing",0.0,0.296,0.296,2025-10-01
197,"electronic, method, component, manufacturing, electronic component",2.197,2.493,0.296,2025-10-01
1264,"network, method, analysis, network analysis, determination",0.0,0.296,0.296,2025-10-01
2032,"vital, method, signs, vital signs, sign",0.0,0.295,0.295,2025-10-01
1990,"laser, welding, laser welding, method, method laser",0.0,0.295,0.295,2025-10-01
1493,"inkjet, inkjet recording, recording, recording apparatus, apparatus",0.0,0.294,0.294,2025-10-01
2204,"method, narrative, story, text, media",0.0,0.294,0.294,2025-10-01
1446,"platelet, method, short, plasma, rich",0.0,0.293,0.293,2025-10-01
1052,"fiber, sensor, optic, optical, fiber optic",2.944,3.237,0.292,2025-10-01
1839,"asset, management, asset management, information, method",2.639,2.931,0.292,2025-10-01
1239,"color, display, color display, device, display device",0.0,0.292,0.292,2025-10-01
1896,"tonneau, tonneau cover, cover, clamp, trunk",0.0,0.292,0.292,2025-10-01
780,"fault, method, detection, apparatus, circuit",2.398,2.689,0.291,2025-10-01
578,"aluminum, steel, method, alloy, high",3.219,3.51,0.291,2025-10-01
1989,"wheat, variety, wheat variety, wheat cultivar, cultivar",2.996,3.286,0.29,2025-10-01
362,"furnace, method, hearth, hearth furnace, arc",0.0,0.289,0.289,2025-10-01
270,"liquid, ejecting, method, ejection, liquid ejecting",2.398,2.687,0.289,2025-10-01
2288,"engagement, user, user engagement, method, determining",0.0,0.289,0.289,2025-10-01
1790,"method, tunnel, network, ipv6, apparatus",0.0,0.289,0.289,2025-10-01
1702,"solid state, solid, state, drive, state drive",0.0,0.288,0.288,2025-10-01
598,"pulse, generator, pulse generator, method, width",2.398,2.685,0.287,2025-10-01
2173,"policy, method, control, management, policy control",0.0,0.287,0.287,2025-10-01
2148,"geared, engine, turbine, turbine engine, gas turbine",0.0,0.287,0.287,2025-10-01
647,"composition, supplement, nutritional, methods, method",0.0,0.287,0.287,2025-10-01
1559,"suture, method, sutures, suturing, barbed",0.0,0.286,0.286,2025-10-01
1823,"ink, recording, inkjet, inkjet recording, method",0.0,0.286,0.286,2025-10-01
1619,"posture, method, therapy, apparatus, patient",0.0,0.286,0.286,2025-10-01
1232,"obesity, treating, treating obesity, treatment, methods",0.0,0.285,0.285,2025-10-01
111,"phase, mask, shift, phase shift, shift mask",0.0,0.285,0.285,2025-10-01
345,"seat, vehicle, vehicle seat, chair, device",2.485,2.77,0.285,2025-10-01
1268,"compounds, organic, organic compounds, compounds organic, use",0.0,0.285,0.285,2025-10-01
1899,"cigarette, electronic cigarette, electronic, atomizer, assembly",0.0,0.284,0.284,2025-10-01
1204,"method, dimensional, device, object, manufacturing",0.0,0.284,0.284,2025-10-01
158,"connector, electrical, electrical connector, locking, latch",0.0,0.284,0.284,2025-10-01
1126,"cell, fuel, fuel cell, stack, cell stack",0.0,0.283,0.283,2025-10-01
915,"data, streams, stream, method, data streams",2.833,3.114,0.281,2025-10-01
732,"method, photocatalyst, photocatalytic, apparatus, water",0.0,0.279,0.279,2025-10-01
1672,"current, sensor, current sensor, sensor current, method",0.0,0.279,0.279,2025-10-01
1612,"metamaterial, antenna, structures, electromagnetic, metamaterials",0.0,0.279,0.279,2025-10-01
1833,"shaft, seal, sealing, shaft seal, rotary",0.0,0.279,0.279,2025-10-01
2126,"surface, treatment, method, surface treatment, surface modified",0.0,0.279,0.279,2025-10-01
1941,"amoled, pixel, driving, displays, amoled displays",0.0,0.278,0.278,2025-10-01
976,"optical, imaging, image, imaging optical, optical imaging",2.398,2.675,0.277,2025-10-01
2182,"point, point cloud, cloud, method, 3d",0.0,0.277,0.277,2025-10-01
993,"pulse, width, pulse width, modulation, method",0.0,0.276,0.276,2025-10-01
1022,"knee, prosthesis, knee prosthesis, joint, knee joint",0.0,0.275,0.275,2025-10-01
777,"apparatus, image, heating, heating apparatus, image forming",2.485,2.76,0.275,2025-10-01
1274,"liquid, head, discharge, liquid discharge, discharge head",0.0,0.275,0.275,2025-10-01
1713,"laser, probe, laser probe, steerable, steerable laser",0.0,0.275,0.275,2025-10-01
1544,"cup, holder, cup holder, assembly, holder cup",0.0,0.274,0.274,2025-10-01
890,"reticle, method, reticles, methods, reticle reticle",0.0,0.274,0.274,2025-10-01
2131,"treadmill, treadmill treadmill, treadmill low, low, belt",0.0,0.274,0.274,2025-10-01
191,"filter, wave, acoustic wave, acoustic, surface",0.0,0.273,0.273,2025-10-01
1342,"method, tag, tags, tagging, information",0.0,0.273,0.273,2025-10-01
1607,"closed, captioning, closed captioning, method, caption",0.0,0.272,0.272,2025-10-01
930,"direct, direct conversion, conversion, receiver, offset",0.0,0.271,0.271,2025-10-01
1100,"liquid, liquid crystal, crystal, liquid crystalline, crystalline",0.0,0.271,0.271,2025-10-01
1029,"class, amplifier, class amplifier, method, amplifier class",0.0,0.271,0.271,2025-10-01
1659,"pelvic, methods, method, prolapse, treating",0.0,0.271,0.271,2025-10-01
1162,"web, service, services, web services, method",0.0,0.27,0.27,2025-10-01
1146,"error, method, handling, apparatus, exception",0.0,0.27,0.27,2025-10-01
1843,"food, cutting, slicing, slicer, apparatus",0.0,0.269,0.269,2025-10-01
1927,"power, inductive, inductive power, transfer, power transfer",0.0,0.269,0.269,2025-10-01
1669,"semiconductor, oxide, oxide semiconductor, semiconductor device, device",0.0,0.268,0.268,2025-10-01
1967,"tau, methods, antibodies, taurine, process",0.0,0.268,0.268,2025-10-01
2096,"spin, element, magnetic, torque, spin orbit",0.0,0.268,0.268,2025-10-01
2062,"distillation, method, apparatus, distillation apparatus, liquid",0.0,0.267,0.267,2025-10-01
1152,"virtual, virtual machine, machine, method, virtualization",2.303,2.57,0.267,2025-10-01
2163,"impeller, machine, apparatus, assembly, method",0.0,0.266,0.266,2025-10-01
1863,"light, light emitting, emitting, element, emitting element",0.0,0.265,0.265,2025-10-01
747,"snow, ski, device, apparatus, method",0.0,0.265,0.265,2025-10-01
1150,"dma, method, controller, dma controller, data",0.0,0.265,0.265,2025-10-01
1046,"surveillance, method, electronic, surveillance method, electronic article",0.0,0.264,0.264,2025-10-01
1547,"menu, method, menus, user, device",0.0,0.264,0.264,2025-10-01
921,"film, optical, film optical, light, antireflection film",0.0,0.264,0.264,2025-10-01
1819,"conduit, conduit conduit, method, conduit fitting, fitting",0.0,0.263,0.263,2025-10-01
597,"vending, machine, vending machine, method, automatic vending",0.0,0.263,0.263,2025-10-01
674,"information, processing, apparatus, information processing, method",3.714,3.976,0.262,2025-10-01
2001,"gimbal, gimbal assembly, device, gimbal gimbal, assembly",0.0,0.262,0.262,2025-10-01
2244,"powder, manufacturing, additive, additive manufacturing, method",0.0,0.261,0.261,2025-10-01
933,"replication, method, data, database, file",2.944,3.205,0.261,2025-10-01
1682,"vehicle, electric, control, electric vehicle, method",0.0,0.261,0.261,2025-10-01
87,"matrix, display, liquid crystal, liquid, crystal",0.0,0.261,0.261,2025-10-01
1130,"module, lens, lens module, module lens, camera",0.0,0.261,0.261,2025-10-01
2067,"geofence, systems, geofencing, methods, geofences",0.0,0.26,0.26,2025-10-01
2171,"subterranean, formation, subterranean formation, treatment, subterranean formations",0.0,0.26,0.26,2025-10-01
1299,"granular, material, apparatus, method, powder",0.0,0.26,0.26,2025-10-01
1421,"impedance, high, frequency, matching, high frequency",0.0,0.26,0.26,2025-10-01
740,"oxygen, method, apparatus, concentrator, oxygen concentrator",0.0,0.26,0.26,2025-10-01
1920,"tube, led, led tube, lamp, tube lamp",0.0,0.259,0.259,2025-10-01
959,"golf, golf club, club, shaft, method",2.303,2.562,0.259,2025-10-01
1996,"wave, elastic, elastic wave, device, wave device",0.0,0.259,0.259,2025-10-01
990,"power, method, consumption, state, power consumption",0.0,0.259,0.259,2025-10-01
2074,"dengue, virus, dengue virus, methods, vaccine",0.0,0.259,0.259,2025-10-01
302,"table, adjustable, folding, adjustable table, folding table",0.0,0.259,0.259,2025-10-01
393,"mixer, low, range, mixer low, frequency",0.0,0.259,0.259,2025-10-01
1875,"blow, molding, blow molding, machine, method",0.0,0.258,0.258,2025-10-01
1159,"derivatives, substituted, piperidine, antagonists, piperazine",0.0,0.258,0.258,2025-10-01
1099,"vacuum, cleaner, vacuum cleaner, cleaner vacuum, type",0.0,0.258,0.258,2025-10-01
1256,"performance, method, software, computer, measuring",0.0,0.257,0.257,2025-10-01
1897,"controller, game, game controller, controller game, flexible bridge",0.0,0.257,0.257,2025-10-01
1965,"profile, user, method, user profile, information",0.0,0.256,0.256,2025-10-01
2016,"iris, method, recognition, iris recognition, image",0.0,0.256,0.256,2025-10-01
2165,"pressure, control, device, pressure control, method",0.0,0.256,0.256,2025-10-01
115,"exposure, method, apparatus, exposure apparatus, device",0.0,0.256,0.256,2025-10-01
1323,"ring, method, tone, ring tone, tones",0.0,0.256,0.256,2025-10-01
1175,"transfer, sheet, image, thermal, thermal transfer",0.0,0.256,0.256,2025-10-01
2055,"display, medium, method, control, device",0.0,0.256,0.256,2025-10-01
1335,"service, denial service, denial, attacks, service attacks",0.0,0.256,0.256,2025-10-01
1102,"method, defect, apparatus, defects, detection",2.996,3.251,0.255,2025-10-01
356,"sensor, angular, method, rotational, rotation",0.0,0.255,0.255,2025-10-01
1857,"switch, frequency, radio, radio frequency, rf",0.0,0.255,0.255,2025-10-01
1035,"terahertz, radiation, terahertz radiation, method, generation",2.833,3.088,0.255,2025-10-01
1443,"neutron, detector, neutron detector, method, detection",0.0,0.254,0.254,2025-10-01
698,"method, modulation, demodulator, demodulation, circuit",2.398,2.652,0.254,2025-10-01
1902,"egg, method, eggs, device, methods",0.0,0.254,0.254,2025-10-01
1931,"flow, thermal, sensor, thermal flow, meter",0.0,0.253,0.253,2025-10-01
1676,"transistor, method, manufacturing, method manufacturing, manufacturing transistor",0.0,0.253,0.253,2025-10-01
1627,"thrust, nacelle, reverser, thrust reverser, engine",0.0,0.253,0.253,2025-10-01
55,"trap, bait, insect, rodent, insect trap",0.0,0.253,0.253,2025-10-01
1587,"sulfur, method, gas, sulfide, removal",0.0,0.253,0.253,2025-10-01
764,"rotor, rotor assembly, assembly, having, method",0.0,0.252,0.252,2025-10-01
1527,"guide, program, program guide, electronic, method",0.0,0.252,0.252,2025-10-01
2022,"sprocket, bicycle, bicycle sprocket, assembly, sprocket assembly",0.0,0.252,0.252,2025-10-01
1714,"electronic, cigarette, electronic cigarette, device, cigarette electronic",0.0,0.251,0.251,2025-10-01
1027,"check, parity, low density, parity check, low",2.303,2.554,0.251,2025-10-01
1753,"led, circuit, dimming, led driver, driver",0.0,0.251,0.251,2025-10-01
876,"gene, genes, expression, methods, use",0.0,0.25,0.25,2025-10-01
1973,"memristor, memristive, method, memristors, using",0.0,0.25,0.25,2025-10-01
502,"ignition, device, ignition device, method, ignition ignition",0.0,0.25,0.25,2025-10-01
582,"electroplating, method, apparatus, device, metal",0.0,0.25,0.25,2025-10-01
903,"train, method, control, controlling, drive",0.0,0.249,0.249,2025-10-01
1840,"assembly, method, assembly method, assembly assembly, access",0.0,0.249,0.249,2025-10-01
1304,"component, mounting, component mounting, method, electronic",0.0,0.249,0.249,2025-10-01
2007,"memory, operating, method, thereof, method thereof",0.0,0.249,0.249,2025-10-01
1506,"armor, ballistic, shield, ballistic shield, lightweight",0.0,0.248,0.248,2025-10-01
174,"friction, method, material, wear, member",0.0,0.248,0.248,2025-10-01
901,"nucleic, polypeptides, nucleic acids, acids, encoding",0.0,0.248,0.248,2025-10-01
830,"micromirror, actuator, micromirror actuator, method, device",0.0,0.248,0.248,2025-10-01
1792,"software, defined, software defined, network, sdn",0.0,0.248,0.248,2025-10-01
964,"encoder, optical, optical encoder, encoder optical, using fiber",0.0,0.248,0.248,2025-10-01
1272,"expansion, card, device, apparatus, mounting",0.0,0.248,0.248,2025-10-01
1887,"branch, prediction, branch prediction, instruction, control",0.0,0.247,0.247,2025-10-01
156,"connector, shielded, electrical, shield, electrical connector",0.0,0.247,0.247,2025-10-01
1504,"layout, method, layouts, based, software",0.0,0.247,0.247,2025-10-01
2040,"wheeled, vehicle, scooter, wheeled vehicle, electric",0.0,0.247,0.247,2025-10-01
1595,"diversity, method, wireless, transmit, transmit diversity",0.0,0.247,0.247,2025-10-01
514,"nox, method, exhaust, gas, catalyst",0.0,0.247,0.247,2025-10-01
1602,"liquid crystal, crystal, liquid, lens, crystal lens",0.0,0.246,0.246,2025-10-01
1014,"recognition, handwriting, method, handwritten, character",0.0,0.246,0.246,2025-10-01
1309,"pump, infusion, infusion pump, pump infusion, operating",0.0,0.246,0.246,2025-10-01
2011,"resistor, method, manufacturing, chip, element",0.0,0.245,0.245,2025-10-01
1818,"hygiene, hand, method, hand hygiene, device",0.0,0.245,0.245,2025-10-01
2138,"joining, method, joined, joined body, body",0.0,0.245,0.245,2025-10-01
2021,"device, vehicle, occupant, protection, protection device",0.0,0.244,0.244,2025-10-01
501,"porous, method, producing, material, method producing",0.0,0.244,0.244,2025-10-01
1085,"motion, method, apparatus, video, method apparatus",0.0,0.244,0.244,2025-10-01
1471,"identity, verification, identity verification, method, management",0.0,0.243,0.243,2025-10-01
1125,"fuel, fuel cell, cell, separator, method",0.0,0.243,0.243,2025-10-01
1948,"travel, vehicle, control, travel control, vehicle travel",0.0,0.243,0.243,2025-10-01
