topic_id,topic,subfield,field,domain,works_count,keywords,description
T13497,Hermeneutics and Narrative Identity,Philosophy,Arts and Humanities,Social Sciences,1014552,Hermeneutics; Narrative; Interpretation; History; Philosophy; Ethics; Religion; Cultural Studies; Phenomenology; Identity,"This cluster of papers encompasses a wide range of topics related to critical hermeneutics, interpretation studies, and narrative analysis. It explores the phil"
T13638,Human auditory perception and evaluation,Aerospace Engineering,Engineering,Physical Sciences,1001792,Hypersonic Effect; Ultrasonic Perception; Brain Activity; Mental Workload; Nasal Temperature; Ultrasound Activation; Bone-Conducted Hearing; Facial Skin Thermogram; High-Frequency Sounds; Physiologica,"This cluster of papers explores the perception and physiological response to hypersonic and ultrasonic stimuli, including their effects on brain activity, menta"
T10781,Plasma Diagnostics and Applications,Electrical and Electronic Engineering,Engineering,Physical Sciences,980793,Plasma Etching; Semiconductor Industry; Atomic Layer Etching; Hall Thrusters; Electric Propulsion; Low Temperature Plasmas; Electron Energy Distribution Function; Spacecraft Propulsion; Ion-Molecule C,"This cluster of papers covers a wide range of topics related to plasma physics and its applications in the semiconductor industry, including plasma etching tech"
T12760,Laser Design and Applications,Electrical and Electronic Engineering,Engineering,Physical Sciences,871033,Electric Discharge; Laser Oscillation; Atomic Iodine; Singlet Oxygen Generation; Oxygen-Iodine Laser; Gain Measurement; Continuous Wave Operation; Copper Vapor Laser; High Power Laser; Frequency Conve,"This cluster of papers focuses on the development and application of electric discharge pumped lasers, particularly emphasizing the use of atomic iodine and sin"
T11893,German Literature and Culture Studies,Literature and Literary Theory,Arts and Humanities,Social Sciences,779371,Autorschaft; Bildung; Literaturkritik; Gender; Ästhetik; Gedächtnis; Poetik; Kultur; Romanticism; Identity,"This cluster of papers encompasses a wide range of topics in literary studies and criticism, including authorship, bildungsroman, literature critique, gender, a"
T11881,Crystallization and Solubility Studies,Materials Chemistry,Materials Science,Physical Sciences,778850,Crystallization; Nucleation; Solubility; Polymorphism; Ultrasound-Assisted Crystallization; Process Analytical Technology; Crystal Growth; Pharmaceutical Crystallization; Continuous Crystallization; C,"This cluster of papers focuses on the crystallization processes and control, including topics such as nucleation, solubility, polymorphism, ultrasound-assisted "
T10384,Laser-Plasma Interactions and Diagnostics,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences,726128,Laser-Plasma Accelerators; Electron Beams; Proton Generation; High-Energy Density Plasmas; Fusion Ignition; Relativistic Regime; Ion Acceleration; Wakefield Acceleration; High-Power Lasers; Particle-i,"This cluster of papers focuses on the physics of laser-plasma interactions, including the generation and acceleration of electron and proton beams, ion accelera"
T11475,French Urban and Social Studies,Sociology and Political Science,Social Sciences,Social Sciences,709651,Territorial Governance; Environmental Participation; Sustainable Development; Citizen Participation; Local Development; Proximity and Innovation; Rural Territories; Public Policy; Social Justice; Comm,"This cluster of papers explores the intersection of territorial governance, environmental participation, and sustainable development. It delves into topics such"
T11803,Superconducting and THz Device Technology,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences,627054,Superconducting Detectors; Terahertz; Millimeter-wave; Transition-Edge Sensors; Bolometer Camera; Kinetic Inductance Detectors; Hot-Electron Bolometers; Frequency Multipliers; Microwave SQUID Multiple,"This cluster of papers focuses on the development and application of superconducting detectors for astrophysical observations, particularly in the terahertz and"
T10165,Classical Antiquity Studies,Anthropology,Social Sciences,Social Sciences,569830,Ancient Rome; Greek Literature; Economic History; Roman Empire; Mediterranean Society; Classical Antiquity; Demography; Ancient Poetry; Roman Religion; Late Antiquity,"This cluster of papers explores various aspects of ancient Mediterranean civilizations, including the society, economy, literature, and religious practices of A"
T10015,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,569309,RNA-seq; sequence alignment; phylogenetic analysis; genome annotation; transcript quantification; metagenomics assembly; sequence variation; phylogenetic tree; functional genomics; quality assessment,"This cluster of papers focuses on the statistical analysis, alignment, and annotation of RNA sequencing data, including methods for transcript quantification, p"
T11044,Particle Detector Development and Performance,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences,560220,Particle Detectors; Silicon Detectors; Photon Counting; Radiation Hardness; Time Projection Chambers; Gaseous Detectors; Cosmic-Ray Muon Imaging; X-ray Imaging; Detector Performance; CMOS Technology,"This cluster of papers covers advancements in particle detector technology, including silicon detectors, photon counting, radiation hardness, time projection ch"
T10941,Musicology and Musical Analysis,Music,Arts and Humanities,Social Sciences,557544,Musicology; Musical Theory; Performance Practice; Historical Analysis; Cultural Context; Ethnomusicology; Music Criticism; Musical Narrative; Mathematics of Music; Opera Studies,"This cluster of papers covers a wide range of topics related to the historical and theoretical study of music, including musicology, musical theory, performance"
T10733,Wheat and Barley Genetics and Pathology,Plant Science,Agricultural and Biological Sciences,Life Sciences,555517,Wheat; Genetics; Breeding; Disease Resistance; Genomic Diversity; Yield Potential; Polyploid Wheat; QTL Mapping; Genome Sequencing; Crop Improvement,"This cluster of papers focuses on the genetic diversity, breeding, and genomics of wheat, with an emphasis on disease resistance, yield potential, polyploid whe"
T14380,Libraries and Information Services,Museology,Arts and Humanities,Social Sciences,554783,Literature; Museum; Exhibition; Materiality; Curation; Narrative; Art; History; Authorship; Curating,"This cluster of papers explores the intersection of literature and museum exhibitions, focusing on the materiality of literature, curation practices, narrative "
T12837,American Environmental and Regional History,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences,542666,Environmental Movement; Conservation; Renewable Energy; Industrial Agriculture; Wilderness Preservation; Chemical Pollution; National Parks; Sustainability; Historical Perspectives; Public Policy,"This cluster of papers covers the environmental history of the United States, including topics such as the environmental movement, conservation efforts, renewab"
T11175,Gyrotron and Vacuum Electronics Research,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences,540944,Vacuum Electronics; High Power Terahertz Sources; Gyrotrons; Plasma Physics; Microwave Generation; Electron Cyclotron Masers; Traveling-Wave Tubes; Dynamic Nuclear Polarization; Space-Charge-Limited F,"This cluster of papers focuses on the development, theory, and applications of high-power vacuum electronic sources, particularly in the terahertz frequency ran"
T13958,"Education, Innovation and Language Studies",Education,Social Sciences,Social Sciences,532741,Pedagogy; Teaching Methods; Student Competencies; Digital Education; Critical Thinking; Formative Assessment; Educational Technologies; Language Teaching; Artistic Education; Tourism Development,"This cluster of papers focuses on the development and improvement of educational methods, systems, and techniques. It covers a wide range of topics including pe"
T11662,Legal Cases and Commentary,Reproductive Medicine,Medicine,Health Sciences,523987,scientific opinion; health claims; international law; copyright law; antitrust laws; corporate governance; environmental permitting; financial sector supervision; surrogacy regulation; blockchain and ,"This cluster of papers covers a wide range of scientific research topics, including scientific opinions on health claims, international law, copyright law, anti"
T11926,Subterranean biodiversity and taxonomy,Paleontology,Earth and Planetary Sciences,Physical Sciences,514097,Subterranean; Evolution; Biodiversity; Cavefish; Groundwater; Morphological Convergence; Genetic Analysis; Ecology; Adaptation; Phylogenetic,"This cluster of papers explores the evolutionary patterns, genetic analysis, and ecological adaptations of subterranean organisms, with a focus on cavefish, gro"
T13445,American Constitutional Law and Politics,Political Science and International Relations,Social Sciences,Social Sciences,495215,American founding; Constitutional government; Religious freedom; Public opinion; Separation of church and state; Presidential prerogative; Early Republic; Federalism; Political philosophy; Nationalism,"This cluster of papers explores the development of American political thought and history, focusing on topics such as the American founding, constitutional gove"
T10591,Theoretical and Computational Physics,Condensed Matter Physics,Physics and Astronomy,Physical Sciences,489370,Phase Transitions; Critical Phenomena; Random Walk Algorithm; Renormalization-group Theory; Self-organized Criticality; Fractal Dimension; Percolation Theory; Spin Glasses; Monte Carlo Simulation; Uni,"This cluster of papers explores various aspects of critical phenomena, including phase transitions, random walk algorithms, renormalization-group theory, self-o"
T10048,Particle physics theoretical and experimental studies,Nuclear and High Energy Physics,Physics and Astronomy,Physical Sciences,474911,Particle Physics; High-Energy Collider; Higgs Boson; Neutrino Mass; Supersymmetry; Quantum Chromodynamics; Standard Model; Muon Anomalous Magnetic Moment; Electroweak Symmetry Breaking; Dark Matter,"This cluster of papers covers a wide range of topics in particle physics, including high-energy collider experiments, Higgs boson observation, neutrino mass, su"
T10251,Solar and Space Plasma Dynamics,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences,473593,Solar Dynamics Observatory; Coronal Mass Ejections; Solar Wind; Magnetohydrodynamic Turbulence; Solar Flares; Helioseismology; Solar Irradiance Variability; Interplanetary Coronal Mass Ejections; Suns,"This cluster of papers covers a wide range of topics related to solar physics, including the study of solar dynamics, coronal mass ejections, solar wind, magnet"
T13085,"Education, Psychology, and Social Research",Education,Social Sciences,Social Sciences,470475,Pedagogical Research; Educational Methods; Learning Environments; Curriculum Reform; Teaching Techniques; Psychological Studies; Digital Education; Student Attitudes; School Climate; Teacher Competenc,"This cluster of papers covers a wide range of topics related to pedagogical and educational research, including methods of pedagogical research, curriculum refo"
T11986,Scientific Computing and Data Management,Information Systems and Management,Decision Sciences,Social Sciences,470006,Scientific Workflows; Reproducibility; Data Provenance; Workflow Management; Bioinformatics; Semantic Web Services; Cyberinfrastructure; Computational Research; Software Development; Ontologies,"This cluster of papers focuses on the management, reproducibility, and provenance of scientific workflows, particularly in the fields of bioinformatics and comp"
T10744,Astrophysical Phenomena and Observations,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences,469488,Black Holes; X-Ray Astronomy; Accretion Disks; Event Horizon Telescope; Galactic Center; Gravitational Lensing; Stellar Orbits; Magnetic Fields; Relativistic Jets; X-Ray Spectroscopy,"This cluster of papers focuses on various aspects of black hole astrophysics, including X-ray astronomy, accretion disks, event horizon imaging, gravitational l"
T12565,Physics and Engineering Research Articles,Computational Mechanics,Engineering,Physical Sciences,447796,Fluid Dynamics; Renewable Energy; Engineering; Materials Science; Renewable Energy Integration; Vibration Analysis; Thermal Management; Sustainability; Turbine Technology; Mathematical Modeling,"This cluster of papers covers a wide range of topics related to fluid dynamics, renewable energy integration, engineering applications, materials science, vibra"
T10252,Microbial Natural Products and Biosynthesis,Pharmacology,Medicine,Health Sciences,429599,Natural Products; Drug Discovery; Secondary Metabolites; Antibiotics; Microbial Metabolites; Genome Sequencing; Endophytic Fungi; Marine Natural Products; Nonribosomal Peptides; Polyketide Biosynthesi,"This cluster of papers focuses on the exploration of natural products, particularly from microbial sources, as potential sources of new drugs. It covers various"
T11974,Lepidoptera: Biology and Taxonomy,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,418007,DNA Barcoding; Lepidoptera; Taxonomy; Evolution; Phylogeny; Molecular Phylogenetics; Butterflies; Moths; Cryptic Species; Biodiversity,"This cluster of papers focuses on the use of DNA barcoding to identify and classify Lepidoptera species, particularly butterflies and moths. It explores the app"
T13650,Computational Physics and Python Applications,Artificial Intelligence,Computer Science,Physical Sciences,413149,Python; Scientific Computing; Statistical Modeling; Machine Learning; Data Analysis; Visualization; Geospatial Mapping; Geomorphology; Oceanography; HF Radio Networking,"This cluster of papers covers a wide range of topics related to scientific computing and data analysis using Python. It includes statistical modeling, machine l"
T10362,Biblical Studies and Interpretation,Religious studies,Arts and Humanities,Social Sciences,406507,Biblical Monotheism; Jewish Society; Christian Identity; Ancient Judaism; Hebrew Bible; Early Christianity; Iron Age Chronology; Theology; Dead Sea Scrolls; Religious Interpretation,"This cluster of papers focuses on biblical studies, ancient Judaism, early Christianity, and Christian theology. It explores topics such as biblical monotheism,"
T12633,Legal case studies and regulations,Political Science and International Relations,Social Sciences,Social Sciences,404585,International Law; Regulatory Policymaking; Human Rights; Global Financial Crisis; Environmental Governance; Data Privacy Laws; Corporate Governance; Intellectual Property Protection; Immigration Poli,"This cluster of papers covers a wide range of topics related to global governance and international law, including regulatory policymaking, human rights, enviro"
T12930,Biomedical and Chemical Research,Surgery,Medicine,Health Sciences,398200,Anaesthesia; Medical Gases; Clinical Leadership; Chemistry; Neurology; Physiology; Thermodynamics; Oxygen Consumption; Cancer Management; Healthcare Reform,"This cluster of papers covers a wide range of topics in medical science and healthcare, including anaesthesia, clinical leadership, chemistry, neurology, physio"
T10017,Geology and Paleoclimatology Research,Atmospheric Science,Earth and Planetary Sciences,Physical Sciences,395935,Climate Change; Paleoclimatology; Glacial Cycles; Holocene; Sea Level; Monsoon Dynamics; Greenhouse Warming; Ice Core Records; Solar Influence; Atmospheric CO2,"This cluster of papers encompasses research on climate change and paleoclimatology, including topics such as glacial cycles, Holocene climate variability, sea l"
T10893,Chinese history and philosophy,Sociology and Political Science,Social Sciences,Social Sciences,394770,Religion; China; Regulation; Confucianism; Christianity; Falun Gong; Cultural Revolution; Philosophy; Nationalism; History,"This cluster of papers explores the religious diversity and regulation in Chinese society, covering topics such as Confucianism, Christianity, Falun Gong, the C"
T12409,Reformation and Early Modern Christianity,History,Arts and Humanities,Social Sciences,393218,Reformation; Calvinism; Religious Controversy; Church History; Early Modern Europe; Theology; Biblical Scholarship; Political Polarization; Social History; Cultural Identity,"This cluster of papers encompasses a wide range of topics related to the Reformation, Calvinism, religious controversy, church history, and social and cultural "
T10885,Gene expression and cancer classification,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,389252,Microarray; Gene Expression; Data Analysis; Normalization; Differential Expression; Feature Selection; Machine Learning; Clustering; Quality Control; Bioinformatics,"This cluster of papers focuses on the analysis of microarray data and gene expression profiling, covering topics such as normalization, differential expression,"
T10001,Geological and Geochemical Analysis,Geophysics,Earth and Planetary Sciences,Physical Sciences,378995,Zircon; Geochronology; Tectonics; Granitic Rocks; Isotopic Composition; Subduction Zones; Mantle Evolution; Plate Tectonics; Thermodynamic Modeling; Continental Growth,"This cluster of papers focuses on the tectonic evolution and geochronological analysis of orogenic processes, with a particular emphasis on zircon geochemistry,"
T11937,Research Data Management Practices,Information Systems,Computer Science,Physical Sciences,373466,Data Sharing; Scientific Data Management; Open Science; Research Data; Data Reuse; Metadata; Ecology; Digital Repositories; FAIR Principles; Data Citation,"This cluster of papers revolves around the practices, challenges, and opportunities of data sharing and stewardship in scientific research. It covers topics suc"
T11993,Atomic and Subatomic Physics Research,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences,365274,Atomic Magnetometer; Magnetic Resonance Imaging; Hyperpolarized Gases; Neutron Lifetime Measurement; Quantum States; Magnetoencephalography; Lung Function Imaging; Optical Pumping; Spin-Exchange Relax,"This cluster of papers focuses on advances in atomic magnetometry techniques, including the use of atomic magnetometers for magnetic resonance imaging with hype"
T12713,Forest Ecology and Biodiversity Studies,Insect Science,Agricultural and Biological Sciences,Life Sciences,364859,Dead Wood; Forest Management; Saproxylic Beetles; Wood Decomposition; Biodiversity Conservation; Fungal Communities; Coarse Woody Debris; Ecosystem Functioning; Habitat Requirements; Global Meta-analy,"This cluster of papers focuses on saproxylic insect ecology, wood decomposition, and the sustainable management of forests. It explores the relationships betwee"
T12552,Fetal and Pediatric Neurological Disorders,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences,364728,Fetal MRI; Cerebral Development; Neurosonography; Corpus Callosum Agenesis; Cerebellar Malformations; Prenatal Diagnosis; Neuroimaging; Genetic Classification; Ventriculomegaly; Pontocerebellar Hypopl,"This cluster of papers focuses on the development, disorders, and imaging techniques related to the fetal brain. It covers topics such as fetal MRI, cerebral an"
T13167,"Historical, Literary, and Cultural Studies",Classics,Arts and Humanities,Social Sciences,363261,Medieval Literature; Cultural History; Religious Practices; Narrative Fiction; Humanities; Literary Discourse; Middle Ages; Historical Narratives; Social Dynamics; Intellectual History,"This cluster of papers encompasses a wide range of topics related to medieval and early modern studies, including medieval literature, cultural history, religio"
T13459,Public Administration and Political Analysis,Political Science and International Relations,Social Sciences,Social Sciences,361167,Governance; Leadership; Participation; Policy Change; Digitalization; Complex Systems; Public Administration; Direct Democracy; Crisis Management; Innovation,"This cluster of papers explores various aspects of political governance, leadership, and public administration in modern societies. It covers topics such as par"
T12826,Education Methods and Technologies,Education,Social Sciences,Social Sciences,360650,Competence; Education; Learning; Teaching; Qualitative Inhaltsanalyse; E-Learning; Teacher Education; Didactics; Digital Learning; Curriculum,"This cluster of papers explores the concept of competence in education and training, covering topics such as teaching and learning methods, teacher education, e"
T13297,History and advancements in chemistry,Physical and Theoretical Chemistry,Chemistry,Physical Sciences,358170,Partially Ordered Sets; Periodic Table; Chemical Substances; Multi-Criteria Analysis; Environmental Health; Quantitative Superstructure/Activity Relationships; Sustainable Development Goals; Decision ,"This cluster of papers focuses on the application of partially ordered sets in chemistry research, particularly in the context of ranking chemical substances, m"
T11312,Soil Moisture and Remote Sensing,Environmental Engineering,Environmental Science,Physical Sciences,356855,Remote Sensing; Soil Moisture; Satellite Observations; Data Assimilation; Hydrological Modeling; Global Monitoring; Microwave Retrieval; Spatial Variability; Temporal Dynamics; Validation,"This cluster of papers focuses on the remote sensing of soil moisture using satellite observations, data assimilation techniques, and hydrological modeling. It "
T13710,European and International Law Studies,Political Science and International Relations,Social Sciences,Social Sciences,355032,Judicial Review; European Legal Systems; Constitutionalism; ECHR; Democracy; Nordic Countries; EU Integration; Legal Culture; Human Rights; EFTA Court,"This cluster of papers explores the concept of judicial review, particularly within the context of European legal systems, with a focus on constitutionalism, th"
T13641,Historical Studies and Socio-cultural Analysis,History and Philosophy of Science,Arts and Humanities,Social Sciences,349792,Scientific History; Technological Development; Innovation; Intellectual Exchange; Cultural Impact; Global Perspectives; Scientific Institutions; Historical Narratives; Cross-disciplinary Studies; Know,"This cluster of papers covers a wide range of topics related to the history of science and technology, including scientific institutions, technological developm"
T12836,History and Developments in Astronomy,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences,346931,Radio Astronomy; Transits of Venus; High-Resolution Imaging; Spectroscopy; Solar Observations; Early Astronomical Instruments; Scientific Expeditions; Astronomical Discoveries; Cultural Impact; Histor,"This cluster of papers covers the historical development and impact of astronomy, with a focus on radio astronomy, transits of Venus, high-resolution imaging, s"
T12797,History of Computing Technologies,Computer Science Applications,Computer Science,Physical Sciences,346884,History; Computing; Information Technology; Internet; Digital; Innovation; Networks; Software; Artificial Intelligence; Communication,"This cluster of papers covers a wide range of topics related to the history of computing and information technology, including the development of the internet, "
T12455,Mediterranean and Iberian flora and fauna,Plant Science,Agricultural and Biological Sciences,Life Sciences,341259,Vascular Flora; Mediterranean; Taxonomy; Phylogeny; Biogeography; Endemism; Conservation; Invasive Species; Chenopodiaceae; Amaranthaceae,"This cluster of papers focuses on the vascular flora, particularly of Mediterranean Europe and North Africa, covering topics such as taxonomy, phylogeny, biogeo"
T13884,Educational Leadership and Practices,Education,Social Sciences,Social Sciences,337236,Educational Leadership; Cultural Diversity; Learning Environment; Student Achievement; Organizational Culture; Teacher Perspectives; School Boards; Leadership Development; Poverty and Learning; Altern,"This cluster of papers explores the evolution of educational leadership in diverse contexts, focusing on cultural diversity, learning environments, student achi"
T12917,Astronomy and Astrophysical Research,Instrumentation,Physics and Astronomy,Physical Sciences,335892,Astronomical Instrumentation; Spectrograph; Telescope; Fiber Optics; Data Reduction Software; Integral Field Unit; Multi-Object Spectroscopy; Optical Fibres; Wide-Field Spectroscopy; Observatory,"This cluster of papers covers advancements in astronomical instrumentation, spectroscopy, and data reduction software, focusing on topics such as telescope desi"
T12527,Chemistry and Stereochemistry Studies,Organic Chemistry,Chemistry,Physical Sciences,335763,Chirality; Stereoisomers; Nomenclature; Polymers; Louis Pasteur; Chemical Reactions; Organic Chemistry; Stereogenicity; IUPAC Recommendations; Molecular Asymmetry,"This cluster of papers covers a wide range of topics related to stereochemistry, including chirality, stereoisomers, nomenclature, polymers, the work of Louis P"
T12012,Diatoms and Algae Research,Biomaterials,Materials Science,Physical Sciences,335125,Biomimetic Synthesis; Peptide-Directed Materials; Diatom Biomineralization; Nanoparticle Assembly; Silica Patterning; Self-Assembly; Nanostructured Materials; Biological Templates; Surface Functionali,"This cluster of papers explores the use of biomimetic principles, peptides, and biological templates for the synthesis, assembly, and patterning of nanomaterial"
T13624,Social Sciences and Policies,General Social Sciences,Social Sciences,Social Sciences,332827,Social Work; Welfare State; Community Intervention; Gender Differences; Third Sector; Participation; Economic Crisis; Family Support; Migrant Integration; Ethical Challenges,"This cluster of papers covers a wide range of topics related to social work, welfare state, and community intervention in Spain. It includes discussions on gend"
T10995,Methane Hydrates and Related Phenomena,Environmental Chemistry,Environmental Science,Physical Sciences,330346,Methane Oxidation; Anaerobic; Gas Hydrates; Microbial Communities; Subseafloor Sediments; Biogeochemistry; Archaea; Nitrite-Driven; Denitrification; Marine Methane Biogeochemistry,"This cluster of papers focuses on the anaerobic oxidation of methane, particularly in relation to gas hydrates, microbial communities in subseafloor sediments, "
T13396,Agriculture and Rural Development Research,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,329421,Livestock Farming; Sustainability; Adaptation; Agricultural Development; Work Organization; Diversity; Multifunctionality; Agroecology; Smallholder Farmers; Climate Change,"This cluster of papers explores the evolution, sustainability, and adaptation of livestock farming systems, with a focus on work organization, diversity, multif"
T12954,Law and Political Science,Law,Social Sciences,Social Sciences,328849,Party Competition; Legal Methodology; Privacy; Migration Law; Digital Governance; Constitutional Courts; Regulatory Agencies; Human Rights; European Law; Criminal Justice,"This cluster of papers explores the evolution of legal systems, jurisprudence, and governance in European countries, focusing on topics such as party competitio"
T13937,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,326254,Bioinformatics; Education; Training; Big Data; Curriculum; Genomics; Undergraduate; Skills Development; Computational Biology; Capacity Building,"This cluster of papers focuses on the challenges and innovations in bioinformatics education, including the need to analyze biological big data, defining core c"
T12983,Satellite Image Processing and Photogrammetry,Ocean Engineering,Engineering,Physical Sciences,321005,Remote Sensing; Geometric Processing; Satellite Imagery; High-Resolution Sensors; Rational Function Model; Orthorectification; DEM Generation; Sensor Calibration; Stereo Imagery; Geopositioning Accura,"This cluster of papers focuses on the geometric processing and accuracy assessment of remote sensing imagery, particularly from high-resolution satellite sensor"
T10325,Astro and Planetary Science,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences,320827,Solar System Abundances; Terrestrial Planets; Giant Planets; Cometary Composition; Asteroid Taxonomy; Planetary Chronology; Enceladus Plumes; Chondritic Meteorites; Kuiper Belt Structure; Extraterrest,"This cluster of papers explores the formation and evolution of the Solar System, including topics such as the abundances and compositions of various celestial b"
T10597,Nuclear reactor physics and engineering,Aerospace Engineering,Engineering,Physical Sciences,317968,Nuclear Reactor; Molten Salt; Neutron Transport; Generation IV; Thorium Fuel Cycle; Monte Carlo Code; Lead-Cooled Fast Reactor; Transmutation; Small Modular Reactors; Nuclear Data Library,"This cluster of papers covers advanced nuclear reactor technology, including topics such as molten salt reactors, neutron transport, Generation IV reactors, the"
T10290,Pregnancy and preeclampsia studies,Obstetrics and Gynecology,Medicine,Health Sciences,317908,Preeclampsia; Placental Development; Hypertensive Disorders; Endothelial Dysfunction; Maternal Mortality; Fetal Growth Restriction; Angiogenic Factors; Oxidative Stress; Cardiovascular Health; Pregnan,"This cluster of papers focuses on the pathophysiology, risk factors, diagnosis, and management of preeclampsia, including its association with placental develop"
T11776,Irish and British Studies,Sociology and Political Science,Social Sciences,Social Sciences,317632,Northern Ireland; Conflict; Consociationalism; Paramilitarism; Peace Process; Identity; Nationalism; Transition; Ethnicity; Reconciliation,"This cluster of papers focuses on the ethnic conflict in Northern Ireland, exploring topics such as consociationalism, paramilitarism, the peace process, identi"
T12454,European Political History Analysis,History,Arts and Humanities,Social Sciences,311955,French Revolution; Napoleonic Wars; European Nationalism; Cultural Imperialism; Religious Revival; Political Ideologies; Social Movements; Globalization; Gender and Society; Revolutionary Historiograp,"This cluster of papers explores the transformation of European political thought, culture, and society during the eighteenth and nineteenth centuries. It delves"
